Year;Country;Performer;Song;Composers;Lyricists;Lyrics.length.category
1989;Sweden;Tommy Nilsson;En Dag;Alexander Bard,Ola Håkansson,Tim Norell;Ola Håkansson,Tim Norell;Middle
1989;Austria;Thomas Forstner;Nur Ein Lied;Dieter Bohlen;Joachim Horn-Bernges;Short
1989;Spain;Nina;Nacida Para Amar;Juan Carlos Calderón;Unknown;Very short
1989;Finland;Anneli Saaristo;La Dolce Vita;Matti Puurtinen;Turkka Mali;Middle
1989;France;Nathalie Pâque;J'ai Volé La Vie;G. G. Candy,Guy Mattéoni;Sylvain Lebel;Middle
1989;Italy;Anna Oxa and Fausto Leali;Avrei Voluto;Franco Fasano;Fabrizio Berlincioni,Franco Ciani;Long
1989;Greece;Marianna;To Diko Sou Asteri;Marianna Efstratiou,Yannis Kyris;Villy Sanianu;Short
1989;Cyprus;Fanny Polymeri and Yiannis Savvidakis;Apopse As Vrethoume;Marios Meletiou;Efi Meletiou;Short
1989;Israel;Gili & Galit;Derech Ha'melech;Shaike Paikov;Unknown;Middle
1989;Switzerland;Furbaz;Viver Senza Tei;Marie Louise Werth;Unknown;Short
1989;Germany;Nino de Angelo;Flieger;Dieter Bohlen;Joachim Horn-Bernges;Middle
1989;The Netherlands;Justine Pelmelay;Blijf Zoals Je Bent;Jan Kisjes;Aart Mol,Cees Bergman,Elmer Veerhoff,Erwin van Prehn,Geertjan Hessing;Short
1989;Portugal;Da Vinci;Conquistador;Ricardo;Pedro Luís;Middle
1989;Norway;Britt Synnøve Johansen;Venners Nærhet;Inge Enoksen;Leiv N. Grøtte;Short
1989;Ireland;Kiev Connolly and the Missing Passengers;The Real Me;Kiev Connolly;Unknown;Long
1989;Belgium;Ingeborg;Door De Wind;Stef Bos;Unknown;Middle
1989;Luxembourg;Park Café;Monsieur;Gast Waltzing,Maggie Parke;Bernard Loncheval,Maggie Parke,Yves Lacomblez;Middle
1989;Turkey;Pan;Bana Bana;Timur Selçuk;Unknown;Very long
1989;Iceland;Daníel Augúst Haraldsson;Það Sem Enginn Sér;Valgeir Guðjónsson;Unknown;Short
1990;Italy;Toto Cutugno;Insieme: 1992;Salvatore Cutugno;Unknown;Middle
1990;France;Joelle Ursull;White And Black Blues;Unknown;Unknown;Middle
1990;Ireland;Liam Reilly;Somewhere In Europe;Liam Reilly;Unknown;Long
1990;Iceland;Stjórnin;Eitt Lag Enn;Hörður G. Ólafsson;Aðalsteinn Ásberg Sigurðsson;Middle
1990;Spain;Azúcar Moreno;Bandido;Jaime Stinus,Raúl Orellana;José Luis Abel;Middle
1990;United Kingdom;Emma;Give A Little Love Back To The World;Paul Curtis;Unknown;Middle
1990;Yugoslavia;Tajci;Hajde Da Ludujemo;Zrinko Tutić;Alka Vuica;Middle
1990;Denmark;Lonnie Devantier;Hallo Hallo;John Hatting,Torben Lendager;Keld Heick;Long
1990;Germany;Chris Kempers and Daniel Kovac;Frei Zu Leben;Ralph Siegel;Michael Kunze;Long
1990;Austria;Simone;Keine Mauern Mehr;Marc Berry,Nanna Berry;Mario Botazzi;Very short
1990;Switzerland;Egon Egemann;Musik Klingt In Die Welt Hinaus;Cornelia Lackner;Unknown;Middle
1990;Belgium;Philippe Lafontaine;Macédomienne;Philippe Lafontaine;Unknown;Long
1990;Luxembourg;Céline Carzo;Quand Je Te Rêve;Jean-Charles France;Thierry Delianis;Long
1990;Cyprus;Haris Anastasiou;Milas Poli;John Vickers;Haris Anastasiou;Short
1990;The Netherlands;Maywood;Ik Wil Alles Met Je Delen;Alice May;Unknown;Middle
1990;Sweden;Edin-Ådahl;Som En Vind;Mikael Wendt;Unknown;Short
1990;Turkey;Kayahan;Gözlerinin Hapsindeyim;Kayahan Açar;Unknown;Middle
1990;Israel;Rita;Shara Barechovot;Rami Kleinstein;Tzruya Lahav;Short
1990;Greece;Christos Callow and Wave;Horis Skopo;Yiorgos Palaiokastritis;Yiorgos Papayanakis;Very short
1990;Portugal;Nucha;Há Sempre Alguém;Ian van Dijck,Luís Filipe;Francisco Pereira,Frederico Pereira;Middle
1990;Norway;Ketil Stokkan;Brandenburger Tor;Ketil Stokkan;Unknown;Middle
1990;Finland;Beat;Fri?;Janne Engblom,Kim Engblom,Tina Krause;Stina Engblom;Middle
1991;Sweden;Carola;Fångad Av En Stormvind;Stephan Berg;Unknown;Long
1991;France;Amina;C'est Le Dernier Qui A Parlé Qui A Raison;Wasis Diop;Amina Annabi;Middle
1991;Israel;Duo Datz;Kan;Uzi Hitman;Unknown;Long
1991;Spain;Sergio Dalma;Bailar Pegados;Julio Seijas;Luis Gómez-Escolar;Very short
1991;Switzerland;Sandra Simò;Canzone Per Te;Renato Mascetti;Unknown;Short
1991;Malta;Paul Giordimaina and Georgina;Could It Be;Paul Abela;Raymond Mahoney;Middle
1991;Italy;Peppino di Capri;Comme E' Ddoce 'o Mare;Marcello Marocchi;Giampiero Artegiani;Short
1991;Portugal;Dulce;Lusitana Paixão;Jorge Quintela,José Da Ponte;Fred Micaelo,José Da Ponte;Short
1991;Cyprus;Elena Patroclou;S.O.S.;Kypros Charalambus;Andreas Christou;Very short
1991;Ireland;Kim Jackson;Could It Be That I'm In Love;Liam O'Reilly;Unknown;Middle
1991;United Kingdom;Samantha Janus;A Message To Your Heart;Paul Curtis;Unknown;Middle
1991;Turkey;Izel Çeliköz, Rayhan Soykarçi and Can Ugurluér;Iki Dakika;Şevket Uğurluer;Aysel Gürel;Middle
1991;Greece;Sofia Vossou;I Anixi;Andreas Mikroutsikos;Unknown;Short
1991;Luxembourg;Sarah Bray;Un Baiser Volé;Patrick Hippert;Linda Lecomte,Monique 'Mick' Wersant;Short
1991;Iceland;Stefán and Eyfi;Nina;Eyjólfur Kristjánsson;Unknown;Middle
1991;Belgium;Clouseau;Geef Het Op;Bob Savenberg,Jan Leyers,Koen Wauters,Kris Wauters;Unknown;Middle
1991;Norway;Just 4 Fun;Mrs. Thompson;Kaare Skevik Jr.,P.G. Roness;Dag Kolsrud;Middle
1991;Germany;Atlantis 2000;Dieser Traum Darf Niemals Sterben;Alfons Weindorf;Helmut Frey;Middle
1991;Denmark;Anders Frandsen;Lige Der Hvor Hjertet Slår;Michael Elo;Unknown;Long
1991;Finland;Kaija;Hullu Yö;Ile Kallio;Jukka Välimaa;Middle
1991;Yugoslavia;Baby Doll;Brazil;Zoran Vracević;Bebi Dol;Long
1991;Austria;Thomas Forstner;Venedig Im Regen;Hubert Moser,Robby Musenbichler,Wolfgang Eltner;Unknown;Short
1992;Ireland;Linda Martin;Why Me;Johnny Logan;Unknown;Middle
1992;United Kingdom;Michael Ball;One Step Out Of Time;Paul Davies,Tony Ryan,Victor Stratton;Unknown;Long
1992;Malta;Mary Spiteri;Little Child;Georgina Abela;Raymond Mahoney;Middle
1992;Italy;Mia Martini;Rapsodia;Giuseppe Dati;Giancarlo Bigazzi;Short
1992;Greece;Cleopatra;Olou Tou Kosmou tin Elpida;Hristos Lagos;Unknown;Very short
1992;Israel;Dafna;Ze Rak Sport;Kobi Oshrat;Ehud Manor;Long
1992;Iceland;Heart 2 Heart;Nei Eða Já;Friðrik Karlsson,Grétar Örvarsson;Stefán Hilmarsson;Long
1992;France;Kali;Monté La Riviè;Jean-Marc Monnerville;Unknown;Middle
1992;The Netherlands;Humphrey Campbell;Wijs Me De Weg;Edwin Schimscheimer;Unknown;Short
1992;Austria;Tony Wegas;Zusammen Geh'n;Dieter Bohlen;Joachim Horn-Bernges;Middle
1992;Cyprus;Evridiki;Teriazoume;Giorgos Theophanous,Leonidas Malenis;Unknown;Short
1992;Denmark;Kenny & Lotte;Alt Det Som Ingen Ser;Carsten Warming;Unknown;Very long
1992;Yugoslavia;Extra Nena;Ljubim Te Pesmama;Radivoje Radivojević;Gale Janković;Very short
1992;Spain;Serafin;Todo Esto Es La Música;Alfredo Valbuena,Luis Miguélez;Luis Miguélez;Middle
1992;Switzerland;Daisy Auvray;Mister Music Man;Gordon Dent;Unknown;Middle
1992;Germany;Wind;Träume Sind Für Alle Da;Ralph Siegel;Gunter Johansen;Middle
1992;Portugal;Diná;Amor D'água Fresca;Ondina Veloso;Rosa Lobato de Faria;Long
1992;Norway;Merethe Trøan;Visjoner;Robert Morley;Eva Jansen;Long
1992;Turkey;Aylin Vatankos;Yaz Bitti;Aldoğan Şimşekyay;Aylin Uçanlar;Short
1992;Belgium;Morgane;Nous On Veut Des Violons;Claude Barzotti;Anne-Marie Gaspard;Very long
1992;Luxembourg;Marion Welter and Kontinent;Sou Fräi;Ab van Goor,Jang Linster;Unknown;Very short
1992;Sweden;Christer Björkman;I Morgon är En Annan Dag;Niklas Strömstedt;Unknown;Middle
1992;Finland;Pave;Yamma Yamma;Pave Maijanen;Hector;Middle
1993;Ireland;Niamh Kavanagh;In Your Eyes;Jimmy Walsh;Unknown;Long
1993;United Kingdom;Sonia;Better The Devil You Know;Dean Collinson,Red;Unknown;Very long
1993;Switzerland;Annie Cotton;Moi, Tout Simplement;Christophe Duc;Jean-Jacques Egli;Middle
1993;France;Patrick Fiori;Mama Corsica;François Valéry;Unknown;Long
1993;Norway;Silje Vige;Alle Mine Tankar;Bjørn-Erik Vige;Unknown;Short
1993;The Netherlands;Ruth Jacott;Vrede;Eric van Tijn,Jochem Fluitsma;Henk Westbroek;Long
1993;Sweden;Arvingarna;Eloïse;Lasse Holm;Gert Lengstrand;Middle
1993;Malta;William Mangion;This Time;William Mangion;Unknown;Middle
1993;Greece;Kaiti Garbi;Ellada, Hora Tou Fotos;Dimosthenis Stringlis;Unknown;Middle
1993;Portugal;Anabela;A Cidade Até Ser Dia;Marco Quelhas,Paulo de Carvalho,Pedro Abrantes;Unknown;Short
1993;Spain;Eva Santamaria;Hombres;Carlos Toro,Christian de Walden,Ralf Steinman;Carlos Toro;Very long
1993;Italy;Enrico Ruggeri;Sole D'europa;Enrico Ruggeri;Unknown;Short
1993;Iceland;Inga;þá Veistu Svarið;Jon Kjell Seljeseth;Friðrik Sturluson;Very short
1993;Austria;Tony Wegas;Maria Magdalena;Christian Kolonovits,Johann Bertl;Thomas Spitzer;Middle
1993;Croatia;Put;Don't Ever Cry;Andrej Basa;Đorđe Novković;Very short
1993;Bosnia and Herzegovina;Fazla;Sva Bol Svijeta;Edin Dervišhalidović;Edin Dervišhalidović,Fahrudin Pecikoza-Peca;Short
1993;Finland;Katri-Helena;Tule Luo;Matti Puurtinen;Jukka Saarinen;Middle
1993;Germany;Münchener Freiheit;Viel Zu Weit;Stefan Zauner;Unknown;Short
1993;Cyprus;Kyriakos Zymboulakis & Demos Van Beke;Mi Stamatas;Aristos Moskovakis;Rodoula Papalambrianou;Very short
1993;Luxembourg;Modern Times;Donne-moi Une Chance;Jimmy Martin,Patrick Hippert;Unknown;Middle
1993;Turkey;Burak Aydos, Öztürk Baybora & Serter;Esmer Yarim;Burak Aydos;Unknown;Long
1993;Denmark;Tommy Seebach Band;Under Stjernerne På Himlen;Tommy Seebach;Keld Heick;Short
1993;Slovenia;1X Band;Tih Dezeven Dan;Cole Moretti;Tomaž Kosec;Short
1993;Israel;Lakahat Shiru;Shiru;Shaike Paikov;David Chris,Yoram Taharlev;Long
1993;Belgium;Barbara;Iemand Als Jij;Marc Vliegen;Tobana;Very short
1994;Ireland;Paul Harrington & Charlie McGettigan;Rock 'n' Roll Kids;Brendan J. Graham;Unknown;Middle
1994;Poland;Edyta Górniak;To Nie Ja!;Stanisław Syrewicz;Jacek Cygan;Short
1994;Germany;MeKaDo;Wir Geben 'ne Party;Ralph Siegel;Gunter Johansen;Very long
1994;Hungary;Friderika Bayer;Kinek Mondjam El Vétkeimet;Szilveszter Jenei;Unknown;Short
1994;Malta;Moira Stafrace and Christopher Scicluna;More Than Love;Christopher Scicluna;Moira Stafrace;Short
1994;Norway;Elisabeth Andreasson & Jan Werner Danielsen;Duett;Rolf Løvland;Hans Olav Mørk;Short
1994;France;Nina Morato;Je Suis Un Vrai Garçon;Bruno Maman;Nina Morato;Short
1994;Portugal;Sara Tavares;Chamar A Música;João Carlos Campos de Sousa Mota Oliveira;Rosa Lobato de Faria;Middle
1994;Russia;Youddiph;Vechni Stranik;Lev Zemlinski;Youddiph;Short
1994;United Kingdom;Frances Ruffelle;We Will Be Free (lonely Symphony);George De Angelis,Mark Dean;Unknown;Very long
1994;Cyprus;Evridiki;Ime Anthropos Ke Ego;Giorgos Theophanous;Unknown;Middle
1994;Iceland;Sigga;Nætur;Friðrik Karlsson;Stefán Hilmarsson;Middle
1994;Sweden;Marie Bergman and Roger Pontare;Stjärnorna;Peter Bertilsson;Mikael Littwold;Middle
1994;Greece;Costas Bigalis and the Sea Lovers;To Trehantiri;Costas Bigalis;Unknown;Short
1994;Bosnia and Herzegovina;Alma and Dejan;Ostani Kraj Mene;Adi Mulahalilović;Edo Mulahalilović;Very short
1994;Croatia;Tony Cetinski;Nek'ti Bude Ljubav Sva;Željen Klašterka;Željko Krznarić;Very short
1994;Austria;Petra Frey;Für Den Frieden Der Welt;Alfons Weindorf;Johann Brunner,Karl Brunner;Long
1994;Spain;Alejandro Abad;Ella No Es Ella;Alejandro Abad;Unknown;Short
1994;Switzerland;Duilio;Sto Pregando;Giuseppe Scaramello;Unknown;Short
1994;Slovakia;Martin Durinda and Tublatanka;Nekovecná Piesen;Martin 'Maťo' Ďurinda;Martin Sarvaš;Short
1994;Romania;Dan Bittman;Dincolo De Nori;Antonio Furtuna,Dan Bittman;Unknown;Very short
1994;Finland;CatCat;Bye Bye Baby;Kari Salli,Markku 'Make' Lentonen;Unknown;Middle
1994;The Netherlands;Willeke Alberti;Waar Is De Zon;Edwin Schimscheimer;Coot van Doesburgh;Middle
1994;Estonia;Silvi Vrait;Nagu Merelaine;Ivar Must;Leelo Tungal;Middle
1994;Lithuania;Ovidijus Vyšniauskas;Lopšinė mylimai;Ovidijus Vyšniauskas;Gintaras Zdebskis;Very short
1995;Norway;Secret Garden;Nocturne;Rolf Løvland;Petter Skavland;Very short
1995;Spain;Anabel Conde;Vuelve Conmigo;José María Purón;Unknown;Short
1995;Sweden;Jan Johansen;Se På Mej;Bobby Ljunggren,Håkan Almqvist;Ingela Forsman;Middle
1995;France;Nathalie Santamaria;Il Me Donne Rendez-vous;François Bernheim;Didier Barbelivien;Very long
1995;Denmark;Aud Wilken;Fra Mols Til Skagen;Lise Cabble,Mette Mathiesen;Lise Cabble;Short
1995;Croatia;Magazin and Lidija;Nostalgija;Tonči Huljić;Vjekoslava Huljić;Short
1995;Slovenia;Darja Svajger;Prisluhni Mi;Primož Peterca,Sašo Fajon;Primož Peterca;Very short
1995;Israel;Liora;Amen;Moshe Datz;Hamutal Ben Zeev;Very short
1995;Cyprus;Alexandros Panayi;Sti Fotia;Alexandros Panayi;Unknown;Middle
1995;United Kingdom;Love City Groove;Unknown;Beanz,Jay Williams,Paul Hardy,Tatsiana Mais;Unknown;Very long
1995;Malta;Mike Spiteri;Keep Me In Mind;Ray Agius;Alfred C. Sant;Middle
1995;Greece;Elina Constantopoulou;Pia Prosefhi;Nikos Terzis;Antonis Pappas;Short
1995;Austria;Stella Jones;Die Welt Dreht Sich Verkehrt;Mischa Krausz;Unknown;Middle
1995;Ireland;Eddie Friel;Dreamin';Barry Woods,Richard Abbot;Unknown;Short
1995;Iceland;Bó Halldórsson;Núna;Björgvin Halldórsson,Ed Welch;Jón Örn Marinósson;Middle
1995;Turkey;Arzu Ece;Sev!;Melih Kibar;Zeynep Talu Kurşuncu;Short
1995;Russia;Philipp Kirkorov;Kolybelnaya Dlya Vulkana;Ilya Bershadskiy;Ilya Resnik;Short
1995;Poland;Justyna;Sama;Mateusz Pospieszalski,Wojciech Waglewski;Wojciech Waglewski;Very short
1995;Bosnia and Herzegovina;Davor Popovic;Dvadeset I Prvi Vijek;Sinan Alimanović,Zlatan Fazlić;Zlatan Fazlić;Middle
1995;Belgium;Frédéric Etherlinck;La Voix Est Libre;Pierre Theunis;Unknown;Middle
1995;Portugal;Tó Cruz;Baunilha E Chocolate;António Vitorino d'Almeida;António Vitorino d'Almeida,Rosa Lobato de Faria;Middle
1995;Hungary;Czaba Szigeti;Ùj Nèv Egy Règi Hàz Fàlan;Ferenc Balázs;Attila Horváth;Short
1995;Germany;Stone and Stone;Verliebt In Dich;Cheyenne Stone;Unknown;Very long
1996;Ireland;Eimear Quinn;The Voice;Brendan J. Graham;Unknown;Middle
1996;Norway;Elisabeth Andreasson;I Evighet;Torhild Nigar;Unknown;Short
1996;Sweden;One More Time;Den Vilda;Peter Grönvall;Nanne Grönvall;Short
1996;Croatia;Maja Blagdan;Sveta Ljubav;Zrinko Tutić;Unknown;Very short
1996;Estonia;Ivo Linna and Maarja-Liis Ilus;Kaelakee Hääl;Priit Pajusaar;Kaari Sillamaa;Short
1996;Portugal;Lúcia Moniz;O Meu Coração Não Tem Cor;Pedro Osório;José Fanha;Very long
1996;The Netherlands;Maxine & Franklin Brown;De Eerste Keer;Peter van Asten;Peter van Asten,Piet Souer;Long
1996;United Kingdom;Gina G;Ooh...Aah...Just A Little Bit;Steve Rodway;Simon Tauber;Very long
1996;Cyprus;Constantinos;Mono Gia Mas;Andreas Giorgallis;Rodoula Papalambrianou;Very short
1996;Malta;Miriam Christine;In A Woman's Heart;Paul Abela;Alfred C. Sant;Long
1996;Austria;George Nußbaumer;Weil's Dr Guat Got;George Nussbaumer,Mischa Krausz;Unknown;Very long
1996;Turkey;Şebnem Paker;Besinçi Mevsim;Levent Çoker;Dr. Selma Çuhacı;Very short
1996;Iceland;Anna Mjöll;Sjúbídú;Anna Mjöll Ólafsdóttir,Ólafur Gaukur Þórhallsson;Unknown;Short
1996;Greece;Marianna Efstratiou;Emis Forame To Himona Anixiatika;Costas Bigalis;Iro Trigoni;Short
1996;Poland;Kasia Kowalska;Chce Znac Swój Grzech;Robert Amirian;Kasia Kowalska;Short
1996;Switzerland;Cathy Leander;Mon Coeur L'aime;Régis Mounir;Unknown;Long
1996;Belgium;Lisa del Bo;Liefde Is Een Kaartspel;John Terra,Siirak Brogden;Daniël Ditmar;Long
1996;Slovakia;Marcel Palonder;Kým Nás Máš;Juraj Burian;Jozef Urban;Middle
1996;France;Dan Ar Braz et l'Héritage des Celtes;Diwanit Bugale;Dan Ar Braz;Unknown;Very short
1996;Spain;Antonio Carbonell;¡Ay, Qué Deseo!;Antonio Carmona,Josemi Carmona,Juan Carmona;Unknown;Middle
1996;Slovenia;Regina;Dan najlepših sanj;Aleksander Kogoj;Unknown;Very short
1996;Bosnia and Herzegovina;Amila Glamocak;Za Našu Ljubav;Adnan Bajramović,Aida Frljak,Sinan Alimanović;Adnan Bajramović;Very short
1996;Finland;Jasmine;Niin Kaunis On Taivas;Timo Niemi;Unknown;Short
1997;United Kingdom;Katrina and The Waves;Love Shine A Light;Kimberley Rew;Unknown;Middle
1997;Ireland;Marc Roberts;Mysterious Woman;John Farry;Unknown;Middle
1997;Turkey;Sebnem Paker and Group Etnic;Dinle;Levent Çoker;Mehtap Alnıtemiz;Short
1997;Italy;Jalisse;Fiumi Di Parole;Fabio Ricci;Alessandra Drusian,Carmen Di Domenico;Long
1997;Cyprus;Chara and Andreas Konstantinou;Mana Mou;Constantina Konstantinou;Unknown;Middle
1997;Spain;Marcos Llunas;Sin Rencor;Marcos Llunas;Unknown;Middle
1997;France;Fanny;Sentiments Songes;Jean-Paul Dréau;Unknown;Long
1997;Estonia;Maarja-Liis Ilus;Keelatud Maa;Harmo Kallaste;Kaari Sillamaa;Short
1997;Malta;Debbie Scerri;Let Me Fly;Ray Agius;Unknown;Middle
1997;Slovenia;Tanja Ribič;Zbudi Se;Saša Lošić;Zoran Predin;Very short
1997;Poland;Anna Maria Jopek;Ale Jestem;Tomasz Lewandowski;Magda Czapińska;Long
1997;Greece;Marianna Zorba;Horepse;Manolis Manusselis;Unknown;Short
1997;Hungary;VIP;Miert Kell, Hogy Elmenj?;Viktor Rakonczai;Krisztina Bokor Fekete;Short
1997;Sweden;Blond;Bara Hon älskar Mig;Stephan Berg;Unknown;Long
1997;Russia;Alla Pugachova;Primadonna;Alla Pugacheva;Unknown;Short
1997;Denmark;Kølig Kaj;Stemmen I Mit Liv;Lars Pedersen;Thomas Lægård;Very long
1997;Croatia;ENI;Probudi Me;Davor Tolja;Alida Šarar;Middle
1997;Germany;Bianca Shomburg;Zeit;Ralph Siegel;Gunter Johansen;Middle
1997;Bosnia and Herzegovina;Alma Cardzic;Goodbye;Milić Vukašinović,Sinan Alimanović;Milić Vukašinović;Very short
1997;Iceland;Paul Oscar;Minn Hinsti Dans;Páll Óskar Hjálmtýsson,Trausti Haraldsson;Páll Óskar Hjálmtýsson;Short
1997;Austria;Bettina Soriat;One Step;Mark Berry;Mark Berry,Martina Siber;Middle
1997;Switzerland;Barbara Berta;Dentro Di Me;Barbara Berta;Unknown;Short
1997;The Netherlands;Mrs. Einstein;Niemand Heeft Nog Tijd;Ed Hooijmans;Unknown;Very long
1997;Norway;Tor Endresen;San Francisco;Arne Myksvoll,Tor Endresen;Tor Endresen;Middle
1997;Portugal;Célia Lawson;Antes Do Adeus;Rodrigues Lobato de Faria,Thilo Krassman;Rosa Lobato de Faria,Rosa Maria de Bettencourt;Middle
1998;Israel;Dana International;Diva;Svika Pick;Yoav Ginai;Very short
1998;United Kingdom;Imaani;Where Are You?;Phil Manikiza,Scott English,Simon Stirling;Unknown;Very long
1998;Malta;Chiara;The One That I Love;Jason Cassar;Sunny Aquilina;Short
1998;The Netherlands;Edsilia Rombley;Hemel En Aarde;Eric van Tijn,Jochem Fluitsma;Unknown;Long
1998;Croatia;Danijela;Neka Mi Ne Svane;Petar Grašo,Remi Kazinotti,Stjepan Kalogjera;Unknown;Short
1998;Belgium;Mélanie Cohl;Dis Oui;Philippe Swan;Unknown;Very long
1998;Germany;Guildo Horn;Guildo Hat Euch Lieb;Alf Igel;Unknown;Long
1998;Norway;Lars A. Fredriksen;Alltid Sommer;David Eriksen,Per-Kristian Ottestad;Linda Andernach Johansen;Long
1998;Ireland;Dawn;Is Always Over Now?;Gerry Morgan;Unknown;Middle
1998;Sweden;Jill Johnson;Kärleken är;Bobby Ljunggren,Håkan Almqvist;Ingela Forsman;Middle
1998;Cyprus;Michael Hajiyanni;Genesis;Michael Hajiyanni;Zenon Zindilis;Short
1998;Portugal;Alma Lusa;Se Eu Te Pudesse Abraçar;José Cid;Unknown;Middle
1998;Estonia;Koit Toome;Mere Lapsed;Maria Rahula,Tomi Rahula;Peeter Pruuli;Middle
1998;Turkey;Tüzmen;Unutamazsin;Erdinç Tunç;Canan Tunç;Middle
1998;Finland;Edea;Aava;Alexi Ahoniemi;Tommy Mansikka-Aho;Very short
1998;Spain;Mikel Herzog;¿Qué Voy A Hacer Sin Ti?;Alberto Estébanez;Mikel Herzog;Middle
1998;Poland;Sixteen;To Takie Proste;Jarosław Pruszkowski;Olga Pruszkowska;Short
1998;Slovenia;Vili Resnik;Naj Bogovi Sliijo;Matjaž Vlašič;Urša Vlašič;Very short
1998;Macedonia;Vlado Janevski;Ne Zori, Zoro;Grigor Koprov;Vlado Janevski;Very short
1998;Greece;Dionysia and Thalassa group;Mia Krifi Evaisthissia;Yiannis Valvis;Yiannis Malachias;Very short
1998;Slovakia;Katarína Hasprová;Modlitba;Gabriel Dušík;Anna Wepperyová;Long
1998;Romania;Malina Olinescu;Eu Cred;Adrian Romcescu;Liliana Ştefan;Short
1998;Hungary;Charlie;A Holnap Már Ném Lesz Szomorú;István Lerch;Attila Horváth;Short
1998;France;Marie-Line;Où Aller;Jean-Philippe Dary,Marie Line Marolany,Micaël Sene,Moïse Crespy;Marie Line Marolany;Very long
1998;Switzerland;Gunvor;Lass Ihn;Egon Egemann,Gunvor Guggisberg;Unknown;Short
1999;Sweden;Charlotte Nilsson;Take Me To Your Heaven;Lars 'Dille' Diedricson;Marcos Ubeda;Long
1999;Iceland;Selma Björnsdóttir;All Out Of Luck;Selma Björnsdóttir,Sveinbjörn I. Baldvinsson,Þorvaldur Bjarni Þorvaldsson;Þorvaldur Bjarni Þorvaldsson;Very long
1999;Germany;Sürpriz;Reise Nach Jerusalem - Kudüs'e Seyahat;Ralph Siegel;Cihan 'Chicco' Özden,Deniz Filizmen,Gunter Johansen;Long
1999;Croatia;Doris Dragović;Marija Magdalena;Tonči Huljić;Vjekoslava Huljić;Very short
1999;Israel;Eden;Yom Huledeth;Gabriel Butler,Jackie Oved,Moshe Datz,Ya'akov Lamai;Unknown;Long
1999;Estonia;Evelin Samuel and Camille;Diamond Of Night;Glen Pilvre,Priit Pajusaar;Maian-Anna Kärmas;Very short
1999;Bosnia and Herzegovina;Dino and Beatrice;Putnici;Edin Dervišhalidović;Unknown;Long
1999;Denmark;Trine Jepsen & Michael Teschl;This Time (i Mean It);Ebbe Ravn;Unknown;Middle
1999;The Netherlands;Marlayne;One Good Reason;Alan Michael,Tjeerd van Zanen;Unknown;Very long
1999;Austria;Bobbie Singer;Reflection;Dave Moskin;Unknown;Middle
1999;Slovenia;Darja Svajger;For A Thousand Years;Sašo Fajon;Primož Peterca;Short
1999;Belgium;Venessa Chinitor;Like The Wind;Emma Philippa Hjälmås,Ilia Beyers,John Terra,Wim Claes;Unknown;Short
1999;United Kingdom;Precious;Say It Again;Paul Varney;Unknown;Very long
1999;Norway;Stig André Van Eijk;Living My Life Without You;SEM,Stig André Van Eijk;Unknown;Very long
1999;Malta;Times 3;Believe 'n Peace;Christopher Scicluna;Moira Stafrace;Long
1999;Turkey;Tuba Önal & Grup Mystik;Dön Artik;Erdinç Tunç;Canan Tunç;Long
1999;Ireland;The Mullan's;When You Need Me;Bronagh Mullan;Unknown;Middle
1999;Poland;Mietek Szczesniak;Przytul Mnie Mocno;Seweryn Krajewski;Wojciech Ziembicki;Very short
1999;France;Nayah;Je Veux Donner Ma Voix;Pascal Graczyk,René Colombies;Gilles Arcens,Luigi Rutigliano;Middle
1999;Lithuania;Aiste Smilgeviciute;Strazdas;Linaš Rimša;Sigitas Geda;Very short
1999;Portugal;Rui Bandeira;Como Tudo Começou;Jorge do Carmo;Tó Andrade;Short
1999;Cyprus;Marlain Angelidou;Tha'nai Erotas;Yiorgos Kallis;Andreas Karanicolas;Very short
1999;Spain;Lydia;No Quiero Escuchar;Alejandro Piqueras Ramírez,Fernando Rodríguez Fernández;Adolfo Carmona Zamarreño,Alejandro Piqueras Ramírez,Carlos López González,Fernando Rodríguez Fernández;Short
2000;Denmark;Olsen brothers;Fly On The Wings Of Love;Jørgen Olsen;Unknown;Middle
2000;Russia;Alsou;Solo;Andrew Lane,Brandon Barnes;Unknown;Long
2000;Latvia;BrainStorm;My Star;Reynard Cowper;Unknown;Long
2000;Estonia;Ines;Once In A Lifetime;Alar Kotkas,Ilmar Laisaar,Pearu Paulus;Jana Hallas;Long
2000;Germany;Stefan Raab;Wadde Hadde Dudde Da;Stefan Raab;Unknown;Very long
2000;Ireland;Eamonn Toal;Millennium Of Love;Gerry Simpson;Raymond J. Smyth;Middle
2000;Sweden;Roger Pontare;When Spirits Are Calling My Name;Linda Jansson,Peter Dahl,Thomas Holmstrand;Unknown;Middle
2000;Malta;Claudette Pace;Desire;Philip Vella;Gerard James Borg;Long
2000;Croatia;Goran Karan;Kada Zaspu Andeli;Neno Ninčević,Nikša Bratoš,Zdenko Runjić;Unknown;Very short
2000;Turkey;Pinar Ayhan & S.O.S. band;Yorgunum Anla;Sühan Ayhan;Orkun Yazgan,Pınar Ayhan;Middle
2000;Norway;Charmed;My Heart Goes Boom;Morten Henriksen,Tore Madsen;Unknown;Long
2000;Iceland;August & Telma;Tell Me!;Örlygur Smári;Örlygur Smári,Sigurður Örn Jónsson;Long
2000;The Netherlands;Linda Wagenmakers;No Goodbyes;John O'Hare;Ellert Driessen;Short
