From;To;All points given by L;All points gotten by R;All points given from L to R;% of given points from L to R out of all given;% of gotten points to R from L out of all gotten;% of all votes for R
BosniaHerzegovina;Moldova;580;553;4;0.6897%;0.7233%;2.314%
BosniaHerzegovina;Monaco;174;0;0;0%;nan%;0%
BosniaHerzegovina;Montenegro;348;0;0;0%;nan%;0%
BosniaHerzegovina;Morocco;0;0;0;nan%;nan%;nan%
BosniaHerzegovina;Netherlands;754;225;2;0.2653%;0.8889%;0.7805%
BosniaHerzegovina;Norway;754;901;15;1.989%;1.665%;3.126%
BosniaHerzegovina;Poland;696;371;0;0%;0%;1.406%
BosniaHerzegovina;Portugal;638;200;1;0.1567%;0.5%;0.8349%
BosniaHerzegovina;Romania;638;971;13;2.038%;1.339%;4.044%
BosniaHerzegovina;Russia;812;2115;29;3.571%;1.371%;6.999%
BosniaHerzegovina;SanMarino;290;0;0;0%;nan%;0%
BosniaHerzegovina;Serbia;464;914;76;16.38%;8.315%;4.704%
BosniaHerzegovina;Serbia&Montenegro;174;400;22;12.64%;5.5%;6.103%
BosniaHerzegovina;Slovakia;232;0;0;0%;nan%;0%
BosniaHerzegovina;Slovenia;812;272;34;4.187%;12.5%;0.9001%
BosniaHerzegovina;Spain;812;784;16;1.97%;2.041%;2.594%
BosniaHerzegovina;Sweden;812;1598;34;4.187%;2.128%;5.288%
BosniaHerzegovina;Switzerland;696;192;4;0.5747%;2.083%;0.7013%
BosniaHerzegovina;Turkey;696;1375;76;10.92%;5.527%;5.425%
BosniaHerzegovina;Ukraine;696;1892;38;5.46%;2.008%;6.882%
BosniaHerzegovina;UnitedKingdom;812;601;11;1.355%;1.83%;1.989%
BosniaHerzegovina;Yugoslavia;0;0;0;nan%;nan%;nan%
Bulgaria;Albania;870;548;11;1.264%;2.007%;1.521%
Bulgaria;Andorra;290;0;0;0%;nan%;0%
Bulgaria;Armenia;754;1068;70;9.284%;6.554%;3.41%
Bulgaria;Australia;348;783;13;3.736%;1.66%;5.315%
Bulgaria;Austria;638;650;37;5.799%;5.692%;2.442%
Bulgaria;Azerbaijan;696;1326;51;7.328%;3.846%;4.554%
Bulgaria;Belarus;870;294;4;0.4598%;1.361%;0.8163%
Bulgaria;Belgium;870;758;14;1.609%;1.847%;2.105%
Bulgaria;BosniaHerzegovina;580;861;13;2.241%;1.51%;3.603%
Bulgaria;Croatia;870;461;3;0.3448%;0.6508%;1.28%
Bulgaria;Cyprus;870;738;39;4.483%;5.285%;2.049%
Bulgaria;Czech;522;322;11;2.107%;3.416%;1.457%
Bulgaria;Denmark;870;1173;9;1.034%;0.7673%;3.257%
Bulgaria;Estonia;870;557;2;0.2299%;0.3591%;1.546%
Bulgaria;Finland;870;518;8;0.9195%;1.544%;1.438%
Bulgaria;France;870;953;17;1.954%;1.784%;2.646%
Bulgaria;Georgia;696;580;10;1.437%;1.724%;1.992%
Bulgaria;Germany;870;976;21;2.414%;2.152%;2.71%
Bulgaria;Greece;870;1388;92;10.57%;6.628%;3.854%
Bulgaria;Hungary;754;782;22;2.918%;2.813%;2.478%
Bulgaria;Iceland;870;477;5;0.5747%;1.048%;1.324%
Bulgaria;Ireland;870;429;4;0.4598%;0.9324%;1.191%
Bulgaria;Israel;870;1109;26;2.989%;2.344%;3.079%
Bulgaria;Italy;522;1182;6;1.149%;0.5076%;5.391%
Bulgaria;Latvia;870;452;0;0%;0%;1.255%
Bulgaria;Lithuania;870;744;18;2.069%;2.419%;2.066%
Bulgaria;Luxembourg;0;0;0;nan%;nan%;nan%
Bulgaria;Macedonia;870;252;25;2.874%;9.921%;0.6997%
Bulgaria;Malta;870;538;7;0.8046%;1.301%;1.494%
Bulgaria;Moldova;870;1207;31;3.563%;2.568%;3.351%
Bulgaria;Monaco;116;0;0;0%;nan%;0%
Bulgaria;Montenegro;638;0;0;0%;nan%;0%
Bulgaria;Morocco;0;0;0;nan%;nan%;nan%
Bulgaria;Netherlands;870;538;12;1.379%;2.23%;1.494%
Bulgaria;Norway;870;1265;5;0.5747%;0.3953%;3.512%
Bulgaria;Poland;754;307;13;1.724%;4.235%;0.9802%
Bulgaria;Portugal;696;966;7;1.006%;0.7246%;3.344%
Bulgaria;Romania;754;1156;29;3.846%;2.509%;3.712%
Bulgaria;Russia;754;1966;54;7.162%;2.747%;6.312%
Bulgaria;SanMarino;580;0;0;0%;nan%;0%
Bulgaria;Serbia;754;1027;34;4.509%;3.311%;3.255%
Bulgaria;Serbia&Montenegro;116;137;4;3.448%;2.92%;3.068%
Bulgaria;Slovakia;232;0;0;0%;nan%;0%
Bulgaria;Slovenia;870;226;0;0%;0%;0.6275%
Bulgaria;Spain;870;533;9;1.034%;1.689%;1.48%
Bulgaria;Sweden;870;1829;19;2.184%;1.039%;5.078%
Bulgaria;Switzerland;870;177;0;0%;0%;0.4914%
Bulgaria;Turkey;464;943;46;9.914%;4.878%;4.957%
Bulgaria;Ukraine;870;1962;50;5.747%;2.548%;5.447%
Bulgaria;UnitedKingdom;870;615;19;2.184%;3.089%;1.707%
Bulgaria;Yugoslavia;0;0;0;nan%;nan%;nan%
Croatia;Albania;1044;744;37;3.544%;4.973%;1.736%
Croatia;Andorra;348;0;0;0%;nan%;0%
Croatia;Armenia;870;1068;4;0.4598%;0.3745%;2.96%
Croatia;Australia;464;1067;23;4.957%;2.156%;5.475%
Croatia;Austria;986;820;15;1.521%;1.829%;2.172%
Croatia;Azerbaijan;812;1628;27;3.325%;1.658%;4.806%
Croatia;Belarus;1044;325;5;0.4789%;1.538%;0.7582%
Croatia;Belgium;1218;965;5;0.4105%;0.5181%;2.046%
Croatia;BosniaHerzegovina;812;1041;118;14.53%;11.34%;3.445%
Croatia;Bulgaria;870;1245;33;3.793%;2.651%;3.457%
Croatia;Cyprus;1218;1125;30;2.463%;2.667%;2.386%
Croatia;Czech;638;479;26;4.075%;5.428%;1.784%
Croatia;Denmark;1218;1672;29;2.381%;1.734%;3.559%
Croatia;Estonia;1276;1054;20;1.567%;1.898%;2.174%
Croatia;Finland;1160;560;10;0.8621%;1.786%;1.227%
Croatia;France;1276;1368;37;2.9%;2.705%;2.821%
Croatia;Georgia;812;580;9;1.108%;1.552%;1.712%
Croatia;Germany;1276;1325;17;1.332%;1.283%;2.733%
Croatia;Greece;1218;1913;35;2.874%;1.83%;4.062%
Croatia;Hungary;870;782;46;5.287%;5.882%;2.154%
Croatia;Iceland;1218;854;11;0.9031%;1.288%;1.813%
Croatia;Ireland;1218;587;18;1.478%;3.066%;1.246%
Croatia;Israel;1276;1230;25;1.959%;2.033%;2.537%
Croatia;Italy;638;1654;54;8.464%;3.265%;6.199%
Croatia;Latvia;1276;780;14;1.097%;1.795%;1.609%
Croatia;Lithuania;1160;791;20;1.724%;2.528%;1.735%
Croatia;Luxembourg;0;0;0;nan%;nan%;nan%
Croatia;Macedonia;1160;658;68;5.862%;10.33%;1.442%
Croatia;Malta;1276;984;26;2.038%;2.642%;2.029%
Croatia;Moldova;986;1207;17;1.724%;1.408%;2.96%
Croatia;Monaco;174;0;0;0%;nan%;0%
Croatia;Montenegro;754;0;0;0%;nan%;0%
Croatia;Morocco;0;0;0;nan%;nan%;nan%
Croatia;Netherlands;1218;1148;23;1.888%;2.003%;2.438%
Croatia;Norway;1218;1782;24;1.97%;1.347%;3.784%
Croatia;Poland;1044;435;4;0.3831%;0.9195%;1.061%
Croatia;Portugal;986;997;20;2.028%;2.006%;2.585%
Croatia;Romania;1102;1343;19;1.724%;1.415%;3.176%
Croatia;Russia;1160;2814;68;5.862%;2.416%;6.452%
Croatia;SanMarino;696;77;2;0.2874%;2.597%;0.2639%
Croatia;Serbia;870;1116;88;10.11%;7.885%;3.074%
Croatia;Serbia&Montenegro;174;400;24;13.79%;6%;6.103%
Croatia;Slovakia;232;0;0;0%;nan%;0%
Croatia;Slovenia;1218;441;55;4.516%;12.47%;0.9364%
Croatia;Spain;1276;930;13;1.019%;1.398%;1.918%
Croatia;Sweden;1276;2700;39;3.056%;1.444%;5.568%
Croatia;Switzerland;1160;570;17;1.466%;2.982%;1.249%
Croatia;Turkey;754;1434;36;4.775%;2.51%;5.363%
Croatia;Ukraine;986;2272;51;5.172%;2.245%;5.735%
Croatia;UnitedKingdom;1276;822;14;1.097%;1.703%;1.695%
Croatia;Yugoslavia;0;0;0;nan%;nan%;nan%
Cyprus;Albania;1102;778;12;1.089%;1.542%;1.722%
Cyprus;Andorra;348;0;0;0%;nan%;0%
Cyprus;Armenia;928;1102;53;5.711%;4.809%;2.87%
Cyprus;Australia;522;1263;25;4.789%;1.979%;5.791%
Cyprus;Austria;1044;820;7;0.6705%;0.8537%;2.046%
Cyprus;Azerbaijan;870;1677;51;5.862%;3.041%;4.634%
Cyprus;Belarus;1102;325;6;0.5445%;1.846%;0.7193%
Cyprus;Belgium;1276;1182;16;1.254%;1.354%;2.389%
Cyprus;BosniaHerzegovina;754;1012;2;0.2653%;0.1976%;3.504%
Cyprus;Bulgaria;870;1245;51;5.862%;4.096%;3.457%
Cyprus;Croatia;1218;654;7;0.5747%;1.07%;1.387%
Cyprus;Czech;696;479;13;1.868%;2.714%;1.642%
Cyprus;Denmark;1218;1495;20;1.642%;1.338%;3.117%
Cyprus;Estonia;1276;962;16;1.254%;1.663%;1.944%
Cyprus;Finland;1218;560;7;0.5747%;1.25%;1.167%
Cyprus;France;1276;1230;40;3.135%;3.252%;2.486%
Cyprus;Georgia;870;631;13;1.494%;2.06%;1.743%
Cyprus;Germany;1276;1259;7;0.5486%;0.556%;2.545%
Cyprus;Greece;1218;1789;200;16.42%;11.18%;3.721%
Cyprus;Hungary;928;801;19;2.047%;2.372%;2.074%
Cyprus;Iceland;1218;851;11;0.9031%;1.293%;1.77%
Cyprus;Ireland;1218;581;16;1.314%;2.754%;1.208%
Cyprus;Israel;1276;1302;30;2.351%;2.304%;2.632%
Cyprus;Italy;696;1946;73;10.49%;3.751%;6.71%
Cyprus;Latvia;1276;950;9;0.7053%;0.9474%;1.92%
Cyprus;Lithuania;1160;786;13;1.121%;1.654%;1.688%
Cyprus;Luxembourg;0;0;0;nan%;nan%;nan%
Cyprus;Macedonia;1218;658;5;0.4105%;0.7599%;1.372%
Cyprus;Malta;1276;936;36;2.821%;3.846%;1.892%
Cyprus;Moldova;1044;1207;20;1.916%;1.657%;2.801%
Cyprus;Monaco;174;0;0;0%;nan%;0%
Cyprus;Montenegro;812;44;0;0%;0%;0.1299%
Cyprus;Morocco;0;0;0;nan%;nan%;nan%
Cyprus;Netherlands;1218;1132;16;1.314%;1.413%;2.354%
Cyprus;Norway;1218;1881;23;1.888%;1.223%;3.912%
Cyprus;Poland;1044;434;4;0.3831%;0.9217%;1.034%
Cyprus;Portugal;986;979;15;1.521%;1.532%;2.475%
Cyprus;Romania;1160;1378;57;4.914%;4.136%;3.09%
Cyprus;Russia;1160;3080;116;10%;3.766%;6.906%
Cyprus;SanMarino;754;77;0;0%;0%;0.2445%
Cyprus;Serbia;928;1169;16;1.724%;1.369%;3.026%
Cyprus;Serbia&Montenegro;174;400;20;11.49%;5%;6.103%
Cyprus;Slovakia;232;0;0;0%;nan%;0%
Cyprus;Slovenia;1218;410;6;0.4926%;1.463%;0.8527%
Cyprus;Spain;1276;869;51;3.997%;5.869%;1.756%
Cyprus;Sweden;1276;2965;68;5.329%;2.293%;5.993%
Cyprus;Switzerland;1218;570;15;1.232%;2.632%;1.188%
Cyprus;Turkey;696;1393;12;1.724%;0.8615%;5.483%
Cyprus;Ukraine;986;2272;54;5.477%;2.377%;5.735%
Cyprus;UnitedKingdom;1276;799;25;1.959%;3.129%;1.615%
Cyprus;Yugoslavia;0;0;0;nan%;nan%;nan%
Czech;Albania;696;411;6;0.8621%;1.46%;1.409%
Czech;Andorra;174;0;0;0%;nan%;0%
Czech;Armenia;696;791;46;6.609%;5.815%;2.711%
Czech;Australia;522;1263;19;3.64%;1.504%;5.791%
Czech;Austria;580;586;13;2.241%;2.218%;2.417%
Czech;Azerbaijan;638;927;60;9.404%;6.472%;3.467%
Czech;Belarus;696;259;5;0.7184%;1.931%;0.8878%
Czech;Belgium;696;761;12;1.724%;1.577%;2.608%
Czech;BosniaHerzegovina;290;322;5;1.724%;1.553%;2.631%
Czech;Bulgaria;522;1245;31;5.939%;2.49%;5.634%
Czech;Croatia;638;290;8;1.254%;2.759%;1.08%
Czech;Cyprus;696;720;8;1.149%;1.111%;2.468%
Czech;Denmark;696;557;15;2.155%;2.693%;1.909%
Czech;Estonia;696;556;7;1.006%;1.259%;1.906%
Czech;Finland;696;156;3;0.431%;1.923%;0.5347%
Czech;France;696;847;7;1.006%;0.8264%;2.903%
Czech;Georgia;638;335;9;1.411%;2.687%;1.253%
Czech;Germany;696;479;3;0.431%;0.6263%;1.642%
Czech;Greece;696;651;8;1.149%;1.229%;2.231%
Czech;Hungary;696;548;16;2.299%;2.92%;1.878%
Czech;Iceland;696;514;12;1.724%;2.335%;1.762%
Czech;Ireland;696;141;14;2.011%;9.929%;0.4833%
Czech;Israel;696;1012;29;4.167%;2.866%;3.469%
Czech;Italy;522;1530;20;3.831%;1.307%;7.016%
Czech;Latvia;696;455;9;1.293%;1.978%;1.56%
Czech;Lithuania;696;462;4;0.5747%;0.8658%;1.584%
Czech;Luxembourg;0;0;0;nan%;nan%;nan%
Czech;Macedonia;696;378;12;1.724%;3.175%;1.296%
Czech;Malta;696;291;9;1.293%;3.093%;0.9975%
Czech;Moldova;696;761;14;2.011%;1.84%;2.608%
Czech;Monaco;0;0;0;nan%;nan%;nan%
Czech;Montenegro;696;44;0;0%;0%;0.1508%
Czech;Morocco;0;0;0;nan%;nan%;nan%
Czech;Netherlands;696;922;25;3.592%;2.711%;3.16%
Czech;Norway;696;1304;13;1.868%;0.9969%;4.47%
Czech;Poland;696;317;8;1.149%;2.524%;1.087%
Czech;Portugal;580;923;27;4.655%;2.925%;3.798%
Czech;Romania;580;486;6;1.034%;1.235%;2%
Czech;Russia;580;1734;51;8.793%;2.941%;7.135%
Czech;SanMarino;580;77;0;0%;0%;0.3168%
Czech;Serbia;696;798;17;2.443%;2.13%;2.735%
Czech;Serbia&Montenegro;0;0;0;nan%;nan%;nan%
Czech;Slovakia;58;0;0;0%;nan%;0%
Czech;Slovenia;696;274;17;2.443%;6.204%;0.9392%
Czech;Spain;696;333;0;0%;0%;1.141%
Czech;Sweden;696;1709;51;7.328%;2.984%;5.858%
Czech;Switzerland;696;364;5;0.7184%;1.374%;1.248%
Czech;Turkey;174;478;1;0.5747%;0.2092%;6.489%
Czech;Ukraine;522;1241;56;10.73%;4.512%;5.616%
Czech;UnitedKingdom;696;443;15;2.155%;3.386%;1.518%
Czech;Yugoslavia;0;0;0;nan%;nan%;nan%
Denmark;Albania;1160;778;9;0.7759%;1.157%;1.644%
Denmark;Andorra;348;0;0;0%;nan%;0%
Denmark;Armenia;986;1276;3;0.3043%;0.2351%;3.147%
Denmark;Australia;522;1263;52;9.962%;4.117%;5.791%
Denmark;Austria;1044;1009;35;3.352%;3.469%;2.478%
Denmark;Azerbaijan;928;1710;19;2.047%;1.111%;4.46%
Denmark;Belarus;1160;368;0;0%;0%;0.7776%
Denmark;Belgium;1276;1017;50;3.918%;4.916%;2.029%
Denmark;BosniaHerzegovina;754;1014;38;5.04%;3.748%;3.532%
Denmark;Bulgaria;870;1245;21;2.414%;1.687%;3.457%
Denmark;Croatia;1218;667;0;0%;0%;1.42%
Denmark;Cyprus;1218;1121;13;1.067%;1.16%;2.337%
Denmark;Czech;696;479;6;0.8621%;1.253%;1.642%
Denmark;Estonia;1334;1146;50;3.748%;4.363%;2.228%
Denmark;Finland;1276;632;30;2.351%;4.747%;1.261%
Denmark;France;1334;1355;29;2.174%;2.14%;2.634%
Denmark;Georgia;928;631;0;0%;0%;1.646%
Denmark;Germany;1334;1311;83;6.222%;6.331%;2.548%
Denmark;Greece;1276;1946;20;1.567%;1.028%;3.888%
Denmark;Hungary;986;944;14;1.42%;1.483%;2.315%
Denmark;Iceland;1276;831;63;4.937%;7.581%;1.66%
Denmark;Ireland;1276;534;30;2.351%;5.618%;1.067%
Denmark;Israel;1334;1310;11;0.8246%;0.8397%;2.546%
Denmark;Italy;754;1979;12;1.592%;0.6064%;6.354%
Denmark;Latvia;1334;966;31;2.324%;3.209%;1.878%
Denmark;Lithuania;1276;821;20;1.567%;2.436%;1.64%
Denmark;Luxembourg;0;0;0;nan%;nan%;nan%
Denmark;Macedonia;1276;658;10;0.7837%;1.52%;1.313%
Denmark;Malta;1334;1012;42;3.148%;4.15%;1.967%
Denmark;Moldova;1102;1207;18;1.633%;1.491%;2.668%
Denmark;Monaco;174;0;0;0%;nan%;0%
Denmark;Montenegro;870;81;0;0%;0%;0.2249%
Denmark;Morocco;0;0;0;nan%;nan%;nan%
Denmark;Netherlands;1276;1341;59;4.624%;4.4%;2.679%
Denmark;Norway;1276;1849;106;8.307%;5.733%;3.694%
Denmark;Poland;1102;417;6;0.5445%;1.439%;0.9485%
Denmark;Portugal;1044;984;19;1.82%;1.931%;2.369%
Denmark;Romania;1160;1377;28;2.414%;2.033%;3.044%
Denmark;Russia;1218;3042;42;3.448%;1.381%;6.532%
Denmark;SanMarino;812;91;0;0%;0%;0.2705%
Denmark;Serbia;928;1169;6;0.6466%;0.5133%;3.026%
Denmark;Serbia&Montenegro;174;400;7;4.023%;1.75%;6.103%
Denmark;Slovakia;232;0;0;0%;nan%;0%
Denmark;Slovenia;1276;482;7;0.5486%;1.452%;0.963%
Denmark;Spain;1334;938;9;0.6747%;0.9595%;1.823%
Denmark;Sweden;1334;3176;210;15.74%;6.612%;6.173%
Denmark;Switzerland;1276;634;13;1.019%;2.05%;1.265%
Denmark;Turkey;696;1267;50;7.184%;3.946%;5.022%
Denmark;Ukraine;986;2355;34;3.448%;1.444%;5.851%
Denmark;UnitedKingdom;1334;867;29;2.174%;3.345%;1.685%
Denmark;Yugoslavia;0;0;0;nan%;nan%;nan%
Estonia;Albania;1160;778;1;0.08621%;0.1285%;1.644%
Estonia;Andorra;348;0;0;0%;nan%;0%
Estonia;Armenia;986;1276;5;0.5071%;0.3918%;3.147%
Estonia;Australia;522;1263;28;5.364%;2.217%;5.791%
Estonia;Austria;1102;1110;34;3.085%;3.063%;2.629%
Estonia;Azerbaijan;928;1710;21;2.263%;1.228%;4.46%
Estonia;Belarus;1160;368;10;0.8621%;2.717%;0.7776%
Estonia;Belgium;1334;1182;34;2.549%;2.876%;2.29%
Estonia;BosniaHerzegovina;812;1041;0;0%;0%;3.445%
Estonia;Bulgaria;870;1245;27;3.103%;2.169%;3.457%
Estonia;Croatia;1276;696;2;0.1567%;0.2874%;1.435%
Estonia;Cyprus;1276;1136;30;2.351%;2.641%;2.296%
Estonia;Czech;696;479;13;1.868%;2.714%;1.642%
Estonia;Denmark;1334;1746;75;5.622%;4.296%;3.394%
Estonia;Finland;1276;632;69;5.408%;10.92%;1.261%
Estonia;France;1392;1374;29;2.083%;2.111%;2.595%
Estonia;Georgia;928;631;22;2.371%;3.487%;1.646%
Estonia;Germany;1392;1364;37;2.658%;2.713%;2.576%
Estonia;Greece;1334;1971;12;0.8996%;0.6088%;3.823%
Estonia;Hungary;986;944;38;3.854%;4.025%;2.315%
Estonia;Iceland;1334;912;36;2.699%;3.947%;1.769%
Estonia;Ireland;1334;587;12;0.8996%;2.044%;1.138%
Estonia;Israel;1392;1327;6;0.431%;0.4521%;2.506%
Estonia;Italy;754;1979;28;3.714%;1.415%;6.354%
Estonia;Latvia;1392;966;83;5.963%;8.592%;1.824%
Estonia;Lithuania;1276;821;49;3.84%;5.968%;1.64%
Estonia;Luxembourg;0;0;0;nan%;nan%;nan%
Estonia;Macedonia;1276;658;0;0%;0%;1.313%
Estonia;Malta;1392;1016;27;1.94%;2.657%;1.919%
Estonia;Moldova;1102;1207;11;0.9982%;0.9114%;2.668%
Estonia;Monaco;174;0;0;0%;nan%;0%
Estonia;Montenegro;870;81;0;0%;0%;0.2249%
Estonia;Morocco;0;0;0;nan%;nan%;nan%
Estonia;Netherlands;1334;1386;48;3.598%;3.463%;2.688%
Estonia;Norway;1334;1972;84;6.297%;4.26%;3.825%
Estonia;Poland;1160;507;5;0.431%;0.9862%;1.115%
Estonia;Portugal;1102;997;24;2.178%;2.407%;2.317%
Estonia;Romania;1218;1450;11;0.9031%;0.7586%;3.102%
Estonia;Russia;1276;3206;173;13.56%;5.396%;6.668%
Estonia;SanMarino;812;91;0;0%;0%;0.2705%
Estonia;Serbia;928;1169;4;0.431%;0.3422%;3.026%
Estonia;Serbia&Montenegro;174;400;1;0.5747%;0.25%;6.103%
Estonia;Slovakia;232;0;0;0%;nan%;0%
Estonia;Slovenia;1334;489;14;1.049%;2.863%;0.9484%
Estonia;Spain;1392;1019;13;0.9339%;1.276%;1.924%
Estonia;Sweden;1392;3283;145;10.42%;4.417%;6.2%
Estonia;Switzerland;1276;634;26;2.038%;4.101%;1.265%
Estonia;Turkey;754;1434;6;0.7958%;0.4184%;5.363%
Estonia;Ukraine;1044;2385;66;6.322%;2.767%;5.711%
Estonia;UnitedKingdom;1392;867;28;2.011%;3.23%;1.637%
Estonia;Yugoslavia;0;0;0;nan%;nan%;nan%
Finland;Albania;1160;778;9;0.7759%;1.157%;1.644%
Finland;Andorra;348;0;0;0%;nan%;0%
Finland;Armenia;986;1276;5;0.5071%;0.3918%;3.147%
Finland;Australia;522;1263;46;8.812%;3.642%;5.791%
Finland;Austria;1044;1009;36;3.448%;3.568%;2.478%
Finland;Azerbaijan;928;1710;9;0.9698%;0.5263%;4.46%
Finland;Belarus;1160;368;0;0%;0%;0.7776%
Finland;Belgium;1276;1017;26;2.038%;2.557%;2.029%
Finland;BosniaHerzegovina;696;985;22;3.161%;2.234%;3.598%
Finland;Bulgaria;870;1245;32;3.678%;2.57%;3.457%
Finland;Croatia;1160;625;8;0.6897%;1.28%;1.369%
Finland;Cyprus;1218;1121;24;1.97%;2.141%;2.337%
Finland;Czech;696;479;12;1.724%;2.505%;1.642%
Finland;Denmark;1276;1569;52;4.075%;3.314%;3.131%
Finland;Estonia;1276;948;83;6.505%;8.755%;1.892%
Finland;France;1276;1213;45;3.527%;3.71%;2.421%
Finland;Georgia;928;631;7;0.7543%;1.109%;1.646%
Finland;Germany;1276;1245;17;1.332%;1.365%;2.484%
Finland;Greece;1218;1799;18;1.478%;1.001%;3.693%
Finland;Hungary;986;944;49;4.97%;5.191%;2.315%
Finland;Iceland;1218;828;56;4.598%;6.763%;1.7%
Finland;Ireland;1218;528;22;1.806%;4.167%;1.084%
Finland;Israel;1276;1285;57;4.467%;4.436%;2.564%
Finland;Italy;754;1979;40;5.305%;2.021%;6.354%
Finland;Latvia;1276;950;30;2.351%;3.158%;1.896%
Finland;Lithuania;1218;786;14;1.149%;1.781%;1.613%
Finland;Luxembourg;0;0;0;nan%;nan%;nan%
Finland;Macedonia;1276;658;8;0.627%;1.216%;1.313%
Finland;Malta;1276;964;22;1.724%;2.282%;1.924%
Finland;Moldova;1102;1207;10;0.9074%;0.8285%;2.668%
Finland;Monaco;174;0;0;0%;nan%;0%
Finland;Montenegro;870;81;0;0%;0%;0.2249%
Finland;Morocco;0;0;0;nan%;nan%;nan%
Finland;Netherlands;1218;1325;41;3.366%;3.094%;2.72%
Finland;Norway;1218;1846;73;5.993%;3.954%;3.789%
Finland;Poland;1044;406;5;0.4789%;1.232%;0.9524%
Finland;Portugal;986;966;20;2.028%;2.07%;2.403%
Finland;Romania;1160;1377;9;0.7759%;0.6536%;3.044%
Finland;Russia;1160;3005;74;6.379%;2.463%;6.642%
Finland;SanMarino;812;91;0;0%;0%;0.2705%
Finland;Serbia;928;1169;16;1.724%;1.369%;3.026%
Finland;Serbia&Montenegro;174;400;10;5.747%;2.5%;6.103%
Finland;Slovakia;232;0;0;0%;nan%;0%
Finland;Slovenia;1218;412;8;0.6568%;1.942%;0.8456%
Finland;Spain;1276;862;8;0.627%;0.9281%;1.72%
Finland;Sweden;1276;3076;170;13.32%;5.527%;6.138%
Finland;Switzerland;1276;634;15;1.176%;2.366%;1.265%
Finland;Turkey;638;1226;25;3.918%;2.039%;5.131%
Finland;Ukraine;986;2355;33;3.347%;1.401%;5.851%
Finland;UnitedKingdom;1276;839;10;0.7837%;1.192%;1.674%
Finland;Yugoslavia;0;0;0;nan%;nan%;nan%
France;Albania;1160;778;2;0.1724%;0.2571%;1.644%
France;Andorra;348;0;0;0%;nan%;0%
France;Armenia;986;1276;86;8.722%;6.74%;3.147%
France;Australia;522;1263;30;5.747%;2.375%;5.791%
France;Austria;1102;1110;38;3.448%;3.423%;2.629%
France;Azerbaijan;928;1710;21;2.263%;1.228%;4.46%
France;Belarus;1160;368;0;0%;0%;0.7776%
France;Belgium;1334;1182;50;3.748%;4.23%;2.29%
France;BosniaHerzegovina;812;1041;19;2.34%;1.825%;3.445%
France;Bulgaria;870;1245;29;3.333%;2.329%;3.457%
France;Croatia;1276;696;8;0.627%;1.149%;1.435%
France;Cyprus;1276;1136;8;0.627%;0.7042%;2.296%
France;Czech;696;479;7;1.006%;1.461%;1.642%
France;Denmark;1334;1746;45;3.373%;2.577%;3.394%
France;Estonia;1392;1160;25;1.796%;2.155%;2.191%
France;Finland;1276;632;11;0.8621%;1.741%;1.261%
France;Georgia;928;631;0;0%;0%;1.646%
France;Germany;1392;1364;47;3.376%;3.446%;2.576%
France;Greece;1334;1971;32;2.399%;1.624%;3.823%
France;Hungary;986;944;8;0.8114%;0.8475%;2.315%
France;Iceland;1334;912;14;1.049%;1.535%;1.769%
France;Ireland;1334;587;6;0.4498%;1.022%;1.138%
France;Israel;1392;1327;113;8.118%;8.515%;2.506%
France;Italy;754;1979;81;10.74%;4.093%;6.354%
France;Latvia;1392;966;18;1.293%;1.863%;1.824%
France;Lithuania;1276;821;3;0.2351%;0.3654%;1.64%
France;Luxembourg;0;0;0;nan%;nan%;nan%
France;Macedonia;1276;658;7;0.5486%;1.064%;1.313%
France;Malta;1392;1016;19;1.365%;1.87%;1.919%
France;Moldova;1102;1207;23;2.087%;1.906%;2.668%
France;Monaco;174;0;0;0%;nan%;0%
France;Montenegro;870;81;0;0%;0%;0.2249%
France;Morocco;0;0;0;nan%;nan%;nan%
France;Netherlands;1334;1386;44;3.298%;3.175%;2.688%
France;Norway;1334;1972;28;2.099%;1.42%;3.825%
France;Poland;1160;507;22;1.897%;4.339%;1.115%
France;Portugal;1102;997;73;6.624%;7.322%;2.317%
France;Romania;1218;1450;44;3.612%;3.034%;3.102%
France;Russia;1276;3206;47;3.683%;1.466%;6.668%
France;SanMarino;812;91;0;0%;0%;0.2705%
France;Serbia;928;1169;34;3.664%;2.908%;3.026%
France;Serbia&Montenegro;174;400;16;9.195%;4%;6.103%
France;Slovakia;232;0;0;0%;nan%;0%
France;Slovenia;1334;489;8;0.5997%;1.636%;0.9484%
France;Spain;1392;1019;85;6.106%;8.342%;1.924%
France;Sweden;1392;3283;77;5.532%;2.345%;6.2%
France;Switzerland;1276;634;7;0.5486%;1.104%;1.265%
France;Turkey;754;1434;123;16.31%;8.577%;5.363%
France;Ukraine;1044;2385;22;2.107%;0.9224%;5.711%
France;UnitedKingdom;1392;867;12;0.8621%;1.384%;1.637%
France;Yugoslavia;0;0;0;nan%;nan%;nan%
Georgia;Albania;928;571;7;0.7543%;1.226%;1.489%
Georgia;Andorra;116;0;0;0%;nan%;0%
Georgia;Armenia;870;1055;93;10.69%;8.815%;2.939%
Georgia;Australia;522;1263;9;1.724%;0.7126%;5.791%
Georgia;Austria;812;940;27;3.325%;2.872%;2.799%
Georgia;Azerbaijan;870;1503;108;12.41%;7.186%;4.186%
Georgia;Belarus;928;368;31;3.341%;8.424%;0.9599%
Georgia;Belgium;928;975;16;1.724%;1.641%;2.543%
