From;To;All points given by L;All points gotten by R;All points given from L to R;% of given points from L to R out of all given;% of gotten points to R from L out of all gotten;% of all votes for R;% of given from L - % of gotten from all
Russia;Belgium;1218;819;33;2,71%;4,03%;1,75%;0,96%
Portugal;Belgium;1044;895;34;3,26%;3,80%;2,15%;1,11%
Latvia;Belgium;1334;1182;42;3,15%;3,55%;2,29%;0,86%
Germany;Belgium;1334;1182;41;3,07%;3,47%;2,29%;0,78%
Lithuania;Belgium;1218;1015;35;2,87%;3,45%;2,08%;0,79%
Iceland;Belgium;1276;1149;39;3,06%;3,39%;2,29%;0,77%
Switzerland;Belgium;1276;1017;32;2,51%;3,15%;2,03%;0,48%
Sweden;Belgium;1334;1182;35;2,62%;2,96%;2,29%;0,33%
Ukraine;Belgium;1044;930;27;2,59%;2,90%;2,23%;0,36%
Hungary;Belgium;986;832;24;2,43%;2,89%;2,04%;0,39%
Estonia;Belgium;1334;1182;34;2,55%;2,88%;2,29%;0,26%
Israel;Belgium;1334;1182;33;2,47%;2,79%;2,29%;0,18%
SanMarino;Belgium;812;832;23;2,83%;2,76%;2,47%;0,36%
Norway;Belgium;1276;1149;30;2,35%;2,61%;2,29%;0,06%
Austria;Belgium;1102;1039;27;2,45%;2,60%;2,46%;-0,01%
Finland;Belgium;1276;1017;26;2,04%;2,56%;2,03%;0,01%
Romania;Belgium;1218;1001;24;1,97%;2,40%;2,14%;-0,17%
Slovenia;Belgium;1276;1180;27;2,12%;2,29%;2,35%;-0,23%
Spain;Belgium;1334;1182;27;2,02%;2,28%;2,29%;-0,27%
Greece;Belgium;1276;1180;26;2,04%;2,20%;2,35%;-0,31%
Serbia;Belgium;928;975;20;2,16%;2,05%;2,52%;-0,37%
UnitedKingdom;Belgium;1334;1182;23;1,72%;1,95%;2,29%;-0,57%
Italy;Belgium;754;832;16;2,12%;1,92%;2,67%;-0,55%
BosniaHerzegovina;Belgium;754;529;10;1,33%;1,89%;1,83%;-0,51%
Bulgaria;Belgium;870;758;14;1,61%;1,85%;2,11%;-0,50%
Belarus;Belgium;1160;982;18;1,55%;1,83%;2,08%;-0,52%
Georgia;Belgium;928;975;16;1,72%;1,64%;2,54%;-0,82%
Czech;Belgium;696;761;12;1,72%;1,58%;2,61%;-0,88%
Montenegro;Belgium;870;832;13;1,49%;1,56%;2,31%;-0,82%
Macedonia;Belgium;1276;1017;15;1,18%;1,48%;2,03%;-0,85%
Cyprus;Belgium;1276;1182;16;1,25%;1,35%;2,39%;-1,14%
Armenia;Belgium;986;975;13;1,32%;1,33%;2,41%;-1,09%
Malta;Belgium;1334;1182;15;1,12%;1,27%;2,29%;-1,17%
Moldova;Belgium;1102;975;8;0,73%;0,82%;2,16%;-1,43%
Albania;Belgium;1160;982;6;0,52%;0,61%;2,08%;-1,56%
Croatia;Belgium;1218;965;5;0,41%;0,52%;2,05%;-1,64%
Azerbaijan;Belgium;928;975;4;0,43%;0,41%;2,54%;-2,11%
Monaco;Belgium;174;7;0;0,00%;0,00%;0,11%;-0,11%
Serbia&Montenegro;Belgium;174;7;0;0,00%;0,00%;0,11%;-0,11%
Luxembourg;Belgium;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Belgium;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Belgium;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Croatia;BosniaHerzegovina;812;1041;118;14,53%;11,34%;3,45%;11,09%
Austria;BosniaHerzegovina;522;516;58;11,11%;11,24%;2,65%;8,46%
Serbia;BosniaHerzegovina;464;553;61;13,15%;11,03%;2,85%;10,30%
Montenegro;BosniaHerzegovina;348;377;35;10,06%;9,28%;2,57%;7,49%
Turkey;BosniaHerzegovina;696;1041;93;13,36%;8,93%;4,11%;9,25%
Slovenia;BosniaHerzegovina;812;1041;90;11,08%;8,65%;3,45%;7,64%
Macedonia;BosniaHerzegovina;696;985;66;9,48%;6,70%;3,60%;5,89%
Sweden;BosniaHerzegovina;812;1041;64;7,88%;6,15%;3,45%;4,44%
Serbia&Montenegro;BosniaHerzegovina;174;399;22;12,64%;5,51%;6,09%;6,55%
Switzerland;BosniaHerzegovina;696;985;54;7,76%;5,48%;3,60%;4,16%
Albania;BosniaHerzegovina;638;952;48;7,52%;5,04%;3,66%;3,86%
Norway;BosniaHerzegovina;754;1008;45;5,97%;4,46%;3,50%;2,47%
Netherlands;BosniaHerzegovina;754;1008;42;5,57%;4,17%;3,50%;2,07%
Monaco;BosniaHerzegovina;174;399;16;9,20%;4,01%;6,09%;3,11%
Denmark;BosniaHerzegovina;754;1014;38;5,04%;3,75%;3,53%;1,51%
Slovakia;BosniaHerzegovina;232;337;10;4,31%;2,97%;3,50%;0,81%
Germany;BosniaHerzegovina;812;1041;24;2,96%;2,31%;3,45%;-0,49%
Finland;BosniaHerzegovina;696;985;22;3,16%;2,23%;3,60%;-0,44%
Italy;BosniaHerzegovina;232;180;4;1,72%;2,22%;1,84%;-0,11%
France;BosniaHerzegovina;812;1041;19;2,34%;1,83%;3,45%;-1,11%
Czech;BosniaHerzegovina;290;322;5;1,72%;1,55%;2,63%;-0,91%
Bulgaria;BosniaHerzegovina;580;861;13;2,24%;1,51%;3,60%;-1,36%
Azerbaijan;BosniaHerzegovina;406;447;5;1,23%;1,12%;2,63%;-1,40%
Ukraine;BosniaHerzegovina;696;979;10;1,44%;1,02%;3,56%;-2,12%
Greece;BosniaHerzegovina;812;1041;9;1,11%;0,86%;3,45%;-2,34%
Armenia;BosniaHerzegovina;464;727;6;1,29%;0,83%;3,79%;-2,49%
Romania;BosniaHerzegovina;638;1012;7;1,10%;0,69%;4,22%;-3,12%
Belgium;BosniaHerzegovina;754;1012;6;0,80%;0,59%;3,50%;-2,71%
Moldova;BosniaHerzegovina;580;861;5;0,86%;0,58%;3,60%;-2,74%
Russia;BosniaHerzegovina;812;1041;6;0,74%;0,58%;3,45%;-2,71%
Iceland;BosniaHerzegovina;754;1008;5;0,66%;0,50%;3,50%;-2,83%
Ireland;BosniaHerzegovina;754;1008;5;0,66%;0,50%;3,50%;-2,83%
Belarus;BosniaHerzegovina;638;952;4;0,63%;0,42%;3,66%;-3,04%
Poland;BosniaHerzegovina;696;953;4;0,57%;0,42%;3,61%;-3,04%
Lithuania;BosniaHerzegovina;754;1014;4;0,53%;0,39%;3,53%;-3,00%
Malta;BosniaHerzegovina;812;1041;4;0,49%;0,38%;3,45%;-2,95%
Spain;BosniaHerzegovina;812;1041;4;0,49%;0,38%;3,45%;-2,95%
UnitedKingdom;BosniaHerzegovina;812;1041;4;0,49%;0,38%;3,45%;-2,95%
Portugal;BosniaHerzegovina;638;1008;2;0,31%;0,20%;4,21%;-3,89%
Cyprus;BosniaHerzegovina;754;1012;2;0,27%;0,20%;3,50%;-3,24%
Israel;BosniaHerzegovina;812;1041;2;0,25%;0,19%;3,45%;-3,20%
SanMarino;BosniaHerzegovina;290;290;0;0,00%;0,00%;2,36%;-2,36%
Georgia;BosniaHerzegovina;406;447;0;0,00%;0,00%;2,63%;-2,63%
Hungary;BosniaHerzegovina;464;581;0;0,00%;0,00%;2,99%;-2,99%
Estonia;BosniaHerzegovina;812;1041;0;0,00%;0,00%;3,45%;-3,45%
Latvia;BosniaHerzegovina;812;1041;0;0,00%;0,00%;3,45%;-3,45%
Andorra;BosniaHerzegovina;348;721;0;0,00%;0,00%;5,18%;-5,18%
Luxembourg;BosniaHerzegovina;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;BosniaHerzegovina;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;BosniaHerzegovina;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Australia;BosniaHerzegovina;116;0;0;0,00%;-1,00%;0,00%;0,00%
Macedonia;Bulgaria;870;1245;59;6,78%;4,74%;3,46%;3,33%
Malta;Bulgaria;870;1245;52;5,98%;4,18%;3,46%;2,52%
Cyprus;Bulgaria;870;1245;51;5,86%;4,10%;3,46%;2,41%
UnitedKingdom;Bulgaria;870;1245;51;5,86%;4,10%;3,46%;2,41%
Turkey;Bulgaria;464;157;6;1,29%;3,82%;0,83%;0,47%
Albania;Bulgaria;870;1245;46;5,29%;3,70%;3,46%;1,83%
Spain;Bulgaria;870;1245;43;4,94%;3,45%;3,46%;1,49%
Azerbaijan;Bulgaria;696;1088;36;5,17%;3,31%;3,74%;1,44%
Ireland;Bulgaria;870;1245;41;4,71%;3,29%;3,46%;1,26%
Romania;Bulgaria;754;938;28;3,71%;2,99%;3,01%;0,70%
Greece;Bulgaria;870;1245;36;4,14%;2,89%;3,46%;0,68%
Hungary;Bulgaria;754;1245;36;4,78%;2,89%;3,95%;0,83%
Serbia;Bulgaria;754;1245;36;4,78%;2,89%;3,95%;0,83%
Australia;Bulgaria;348;1088;31;8,91%;2,85%;7,39%;1,52%
Moldova;Bulgaria;870;1245;34;3,91%;2,73%;3,46%;0,45%
Slovenia;Bulgaria;870;1245;34;3,91%;2,73%;3,46%;0,45%
Austria;Bulgaria;638;1245;34;5,33%;2,73%;4,68%;0,65%
Belgium;Bulgaria;870;1245;33;3,79%;2,65%;3,46%;0,34%
Croatia;Bulgaria;870;1245;33;3,79%;2,65%;3,46%;0,34%
Norway;Bulgaria;870;1245;33;3,79%;2,65%;3,46%;0,34%
Finland;Bulgaria;870;1245;32;3,68%;2,57%;3,46%;0,22%
Israel;Bulgaria;870;1245;32;3,68%;2,57%;3,46%;0,22%
Czech;Bulgaria;522;1245;31;5,94%;2,49%;5,63%;0,31%
Belarus;Bulgaria;870;1245;30;3,45%;2,41%;3,46%;-0,01%
BosniaHerzegovina;Bulgaria;580;464;11;1,90%;2,37%;1,94%;-0,04%
France;Bulgaria;870;1245;29;3,33%;2,33%;3,46%;-0,12%
Portugal;Bulgaria;696;938;21;3,02%;2,24%;3,25%;-0,23%
Estonia;Bulgaria;870;1245;27;3,10%;2,17%;3,46%;-0,35%
Sweden;Bulgaria;870;1245;24;2,76%;1,93%;3,46%;-0,70%
Montenegro;Bulgaria;638;1245;24;3,76%;1,93%;4,65%;-0,88%
Poland;Bulgaria;754;1245;22;2,92%;1,77%;3,98%;-1,06%
Georgia;Bulgaria;696;1245;22;3,16%;1,77%;4,28%;-1,12%
Denmark;Bulgaria;870;1245;21;2,41%;1,69%;3,46%;-1,04%
Germany;Bulgaria;870;1245;21;2,41%;1,69%;3,46%;-1,04%
SanMarino;Bulgaria;580;1088;17;2,93%;1,56%;4,46%;-1,53%
Italy;Bulgaria;522;1088;17;3,26%;1,56%;4,96%;-1,71%
Latvia;Bulgaria;870;1245;19;2,18%;1,53%;3,46%;-1,27%
Netherlands;Bulgaria;870;1245;19;2,18%;1,53%;3,46%;-1,27%
Armenia;Bulgaria;754;1245;18;2,39%;1,45%;3,98%;-1,59%
Switzerland;Bulgaria;870;1245;17;1,95%;1,37%;3,46%;-1,50%
Lithuania;Bulgaria;870;1245;16;1,84%;1,29%;3,46%;-1,62%
Iceland;Bulgaria;870;1245;10;1,15%;0,80%;3,46%;-2,31%
Ukraine;Bulgaria;870;1245;8;0,92%;0,64%;3,46%;-2,54%
Russia;Bulgaria;754;630;4;0,53%;0,63%;2,02%;-1,49%
Andorra;Bulgaria;290;157;0;0,00%;0,00%;1,33%;-1,33%
Luxembourg;Bulgaria;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Bulgaria;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Bulgaria;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Slovakia;Bulgaria;232;0;0;0,00%;-1,00%;0,00%;0,00%
Monaco;Bulgaria;116;0;0;0,00%;-1,00%;0,00%;0,00%
Serbia&Montenegro;Bulgaria;116;0;0;0,00%;-1,00%;0,00%;0,00%
BosniaHerzegovina;Croatia;812;498;85;10,47%;17,07%;1,65%;8,82%
Slovenia;Croatia;1218;626;86;7,06%;13,74%;1,33%;5,73%
Montenegro;Croatia;754;290;33;4,38%;11,38%;0,92%;3,46%
Serbia&Montenegro;Croatia;174;221;25;14,37%;11,31%;3,37%;11,00%
Macedonia;Croatia;1160;625;65;5,60%;10,40%;1,37%;4,23%
Austria;Croatia;986;509;38;3,85%;7,47%;1,35%;2,51%
Switzerland;Croatia;1160;625;39;3,36%;6,24%;1,37%;1,99%
Serbia;Croatia;870;290;17;1,95%;5,86%;0,80%;1,16%
Monaco;Croatia;174;221;11;6,32%;4,98%;3,37%;2,95%
Turkey;Croatia;754;495;23;3,05%;4,65%;1,85%;1,20%
Germany;Croatia;1276;696;30;2,35%;4,31%;1,44%;0,92%
Ukraine;Croatia;986;540;23;2,33%;4,26%;1,36%;0,97%
Romania;Croatia;1102;581;20;1,82%;3,44%;1,37%;0,44%
Russia;Croatia;1160;568;17;1,47%;2,99%;1,30%;0,16%
Italy;Croatia;638;201;6;0,94%;2,99%;0,75%;0,19%
Hungary;Croatia;870;405;12;1,38%;2,96%;1,12%;0,26%
Czech;Croatia;638;290;8;1,25%;2,76%;1,08%;0,17%
Malta;Croatia;1276;696;19;1,49%;2,73%;1,44%;0,05%
Greece;Croatia;1218;626;15;1,23%;2,40%;1,33%;-0,10%
Azerbaijan;Croatia;812;290;6;0,74%;2,07%;0,86%;-0,12%
Albania;Croatia;1044;511;9;0,86%;1,76%;1,19%;-0,33%
Latvia;Croatia;1276;696;12;0,94%;1,72%;1,44%;-0,49%
Iceland;Croatia;1218;652;9;0,74%;1,38%;1,38%;-0,65%
Ireland;Croatia;1218;652;9;0,74%;1,38%;1,38%;-0,65%
Finland;Croatia;1160;625;8;0,69%;1,28%;1,37%;-0,68%
Georgia;Croatia;812;245;3;0,37%;1,22%;0,72%;-0,35%
SanMarino;Croatia;696;245;3;0,43%;1,22%;0,84%;-0,41%
France;Croatia;1276;696;8;0,63%;1,15%;1,44%;-0,81%
Cyprus;Croatia;1218;654;7;0,57%;1,07%;1,39%;-0,81%
Lithuania;Croatia;1160;597;6;0,52%;1,01%;1,31%;-0,79%
Australia;Croatia;464;201;2;0,43%;1,00%;1,03%;-0,60%
Belarus;Croatia;1044;511;5;0,48%;0,98%;1,19%;-0,71%
UnitedKingdom;Croatia;1276;696;6;0,47%;0,86%;1,44%;-0,96%
Netherlands;Croatia;1218;652;5;0,41%;0,77%;1,38%;-0,97%
Moldova;Croatia;986;461;3;0,30%;0,65%;1,13%;-0,83%
Bulgaria;Croatia;870;461;3;0,34%;0,65%;1,28%;-0,94%
Portugal;Croatia;986;509;3;0,30%;0,59%;1,32%;-1,02%
Armenia;Croatia;870;346;2;0,23%;0,58%;0,96%;-0,73%
Poland;Croatia;1044;582;3;0,29%;0,52%;1,42%;-1,13%
Norway;Croatia;1218;652;3;0,25%;0,46%;1,38%;-1,14%
Israel;Croatia;1276;696;3;0,24%;0,43%;1,44%;-1,20%
Estonia;Croatia;1276;696;2;0,16%;0,29%;1,44%;-1,28%
Spain;Croatia;1276;696;2;0,16%;0,29%;1,44%;-1,28%
Sweden;Croatia;1276;696;2;0,16%;0,29%;1,44%;-1,28%
Slovakia;Croatia;232;45;0;0,00%;0,00%;0,47%;-0,47%
Belgium;Croatia;1218;654;0;0,00%;0,00%;1,39%;-1,39%
Denmark;Croatia;1218;667;0;0,00%;0,00%;1,42%;-1,42%
Andorra;Croatia;348;310;0;0,00%;0,00%;2,23%;-2,23%
Luxembourg;Croatia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Croatia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Croatia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Greece;Cyprus;1218;1128;174;14,29%;15,43%;2,35%;11,94%
Armenia;Cyprus;928;747;50;5,39%;6,69%;1,95%;3,44%
Malta;Cyprus;1276;1136;67;5,25%;5,90%;2,30%;2,96%
Bulgaria;Cyprus;870;738;39;4,48%;5,29%;2,05%;2,43%
Georgia;Cyprus;870;812;34;3,91%;4,19%;2,24%;1,66%
Sweden;Cyprus;1276;1136;47;3,68%;4,14%;2,30%;1,39%
Russia;Cyprus;1160;1068;44;3,79%;4,12%;2,40%;1,40%
Albania;Cyprus;1102;1028;40;3,63%;3,89%;2,28%;1,36%
Spain;Cyprus;1276;1136;39;3,06%;3,43%;2,30%;0,76%
SanMarino;Cyprus;754;785;24;3,18%;3,06%;2,49%;0,69%
Belarus;Cyprus;1102;1028;31;2,81%;3,02%;2,28%;0,54%
UnitedKingdom;Cyprus;1276;1136;34;2,67%;2,99%;2,30%;0,37%
Croatia;Cyprus;1218;1125;30;2,46%;2,67%;2,39%;0,08%
Estonia;Cyprus;1276;1136;30;2,35%;2,64%;2,30%;0,05%
Serbia;Cyprus;928;812;21;2,26%;2,59%;2,10%;0,16%
Ireland;Cyprus;1218;1051;27;2,22%;2,57%;2,19%;0,03%
Italy;Cyprus;696;785;20;2,87%;2,55%;2,71%;0,17%
Romania;Cyprus;1160;1040;26;2,24%;2,50%;2,33%;-0,09%
Azerbaijan;Cyprus;870;812;19;2,18%;2,34%;2,24%;-0,06%
Belgium;Cyprus;1276;1136;25;1,96%;2,20%;2,30%;-0,34%
Slovakia;Cyprus;232;92;2;0,86%;2,17%;0,96%;-0,09%
Finland;Cyprus;1218;1121;24;1,97%;2,14%;2,34%;-0,37%
Macedonia;Cyprus;1218;1121;23;1,89%;2,05%;2,34%;-0,45%
Iceland;Cyprus;1218;1051;21;1,72%;2,00%;2,19%;-0,46%
Netherlands;Cyprus;1218;1051;20;1,64%;1,90%;2,19%;-0,54%
Andorra;Cyprus;348;216;4;1,15%;1,85%;1,55%;-0,40%
Serbia&Montenegro;Cyprus;174;216;4;2,30%;1,85%;3,30%;-1,00%
Slovenia;Cyprus;1218;1128;20;1,64%;1,77%;2,35%;-0,70%
Moldova;Cyprus;1044;858;15;1,44%;1,75%;1,99%;-0,55%
Hungary;Cyprus;928;831;14;1,51%;1,69%;2,15%;-0,64%
Montenegro;Cyprus;812;785;12;1,48%;1,53%;2,32%;-0,84%
Lithuania;Cyprus;1160;1113;17;1,47%;1,53%;2,39%;-0,92%
Germany;Cyprus;1276;1136;17;1,33%;1,50%;2,30%;-0,96%
Poland;Cyprus;1044;978;13;1,25%;1,33%;2,33%;-1,08%
Denmark;Cyprus;1218;1121;13;1,07%;1,16%;2,34%;-1,27%
Latvia;Cyprus;1276;1136;13;1,02%;1,14%;2,30%;-1,28%
Norway;Cyprus;1218;1051;12;0,99%;1,14%;2,19%;-1,20%
Czech;Cyprus;696;720;8;1,15%;1,11%;2,47%;-1,32%
Switzerland;Cyprus;1218;1121;12;0,99%;1,07%;2,34%;-1,35%
Australia;Cyprus;522;720;7;1,34%;0,97%;3,30%;-1,96%
Portugal;Cyprus;986;947;9;0,91%;0,95%;2,39%;-1,48%
Monaco;Cyprus;174;216;2;1,15%;0,93%;3,30%;-2,15%
Ukraine;Cyprus;986;923;8;0,81%;0,87%;2,33%;-1,52%
Israel;Cyprus;1276;1136;9;0,71%;0,79%;2,30%;-1,59%
France;Cyprus;1276;1136;8;0,63%;0,70%;2,30%;-1,67%
Austria;Cyprus;1044;1109;7;0,67%;0,63%;2,77%;-2,10%
Turkey;Cyprus;696;416;1;0,14%;0,24%;1,64%;-1,49%
BosniaHerzegovina;Cyprus;754;504;0;0,00%;0,00%;1,75%;-1,75%
Luxembourg;Cyprus;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Cyprus;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Cyprus;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
BosniaHerzegovina;Czech;290;41;6;2,07%;14,63%;0,34%;1,73%
Croatia;Czech;638;479;26;4,08%;5,43%;1,78%;2,29%
Iceland;Czech;696;479;24;3,45%;5,01%;1,64%;1,81%
Slovenia;Czech;696;479;23;3,31%;4,80%;1,64%;1,66%
Hungary;Czech;696;479;22;3,16%;4,59%;1,64%;1,52%
Austria;Czech;580;479;22;3,79%;4,59%;1,98%;1,82%
Ukraine;Czech;522;322;14;2,68%;4,35%;1,46%;1,23%
Spain;Czech;696;479;20;2,87%;4,18%;1,64%;1,23%
Armenia;Czech;696;479;18;2,59%;3,76%;1,64%;0,94%
Bulgaria;Czech;522;322;11;2,11%;3,42%;1,46%;0,65%
Moldova;Czech;696;479;16;2,30%;3,34%;1,64%;0,66%
Norway;Czech;696;479;16;2,30%;3,34%;1,64%;0,66%
Lithuania;Czech;696;479;15;2,16%;3,13%;1,64%;0,51%
Belgium;Czech;696;479;14;2,01%;2,92%;1,64%;0,37%
Cyprus;Czech;696;479;13;1,87%;2,71%;1,64%;0,23%
Estonia;Czech;696;479;13;1,87%;2,71%;1,64%;0,23%
Israel;Czech;696;479;13;1,87%;2,71%;1,64%;0,23%
Romania;Czech;580;438;11;1,90%;2,51%;1,80%;0,09%
Finland;Czech;696;479;12;1,72%;2,51%;1,64%;0,08%
Georgia;Czech;638;479;12;1,88%;2,51%;1,79%;0,09%
Belarus;Czech;696;479;11;1,58%;2,30%;1,64%;-0,06%
Australia;Czech;522;479;11;2,11%;2,30%;2,20%;-0,09%
Portugal;Czech;580;438;10;1,72%;2,28%;1,80%;-0,08%
Netherlands;Czech;696;479;10;1,44%;2,09%;1,64%;-0,21%
SanMarino;Czech;580;479;10;1,72%;2,09%;1,97%;-0,25%
Ireland;Czech;696;479;9;1,29%;1,88%;1,64%;-0,35%
Macedonia;Czech;696;479;9;1,29%;1,88%;1,64%;-0,35%
Poland;Czech;696;479;9;1,29%;1,88%;1,64%;-0,35%
Serbia;Czech;696;479;9;1,29%;1,88%;1,64%;-0,35%
Germany;Czech;696;479;8;1,15%;1,67%;1,64%;-0,49%
Malta;Czech;696;479;8;1,15%;1,67%;1,64%;-0,49%
France;Czech;696;479;7;1,01%;1,46%;1,64%;-0,64%
Greece;Czech;696;479;7;1,01%;1,46%;1,64%;-0,64%
Latvia;Czech;696;479;7;1,01%;1,46%;1,64%;-0,64%
Sweden;Czech;696;479;7;1,01%;1,46%;1,64%;-0,64%
Denmark;Czech;696;479;6;0,86%;1,25%;1,64%;-0,78%
UnitedKingdom;Czech;696;479;6;0,86%;1,25%;1,64%;-0,78%
Azerbaijan;Czech;638;479;6;0,94%;1,25%;1,79%;-0,85%
Italy;Czech;522;479;4;0,77%;0,84%;2,20%;-1,43%
Russia;Czech;580;479;2;0,34%;0,42%;1,97%;-1,63%
Albania;Czech;696;479;1;0,14%;0,21%;1,64%;-1,50%
Montenegro;Czech;696;479;1;0,14%;0,21%;1,64%;-1,50%
Switzerland;Czech;696;479;0;0,00%;0,00%;1,64%;-1,64%
Luxembourg;Czech;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Monaco;Czech;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Czech;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Serbia&Montenegro;Czech;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Czech;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Andorra;Czech;174;0;0;0,00%;-1,00%;0,00%;0,00%
Turkey;Czech;174;0;0;0,00%;-1,00%;0,00%;0,00%
Slovakia;Czech;58;0;0;0,00%;-1,00%;0,00%;0,00%
Iceland;Denmark;1276;1739;126;9,88%;7,25%;3,47%;6,40%
Norway;Denmark;1276;1739;112;8,78%;6,44%;3,47%;5,30%
Sweden;Denmark;1334;1746;105;7,87%;6,01%;3,39%;4,48%
Monaco;Denmark;174;151;10;5,75%;6,62%;2,30%;3,44%
Netherlands;Denmark;1276;1739;81;6,35%;4,66%;3,47%;2,87%
Hungary;Denmark;986;1192;56;5,68%;4,70%;2,92%;2,76%
Italy;Denmark;754;933;42;5,57%;4,50%;3,00%;2,57%
Australia;Denmark;522;423;23;4,41%;5,44%;1,94%;2,47%
Slovenia;Denmark;1276;1551;70;5,49%;4,51%;3,10%;2,39%
Ireland;Denmark;1276;1739;74;5,80%;4,26%;3,47%;2,33%
Estonia;Denmark;1334;1746;75;5,62%;4,30%;3,39%;2,23%
UnitedKingdom;Denmark;1334;1746;72;5,40%;4,12%;3,39%;2,00%
Latvia;Denmark;1334;1746;70;5,25%;4,01%;3,39%;1,85%
Poland;Denmark;1102;1242;51;4,63%;4,11%;2,83%;1,80%
Slovakia;Denmark;232;378;13;5,60%;3,44%;3,93%;1,68%
Germany;Denmark;1334;1746;67;5,02%;3,84%;3,39%;1,63%
Finland;Denmark;1276;1569;52;4,08%;3,31%;3,13%;0,94%
Israel;Denmark;1334;1746;55;4,12%;3,15%;3,39%;0,73%
Malta;Denmark;1334;1746;49;3,67%;2,81%;3,39%;0,28%
Andorra;Denmark;348;285;8;2,30%;2,81%;2,05%;0,25%
Czech;Denmark;696;557;15;2,16%;2,69%;1,91%;0,25%
Luxembourg;Denmark;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Denmark;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Denmark;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
France;Denmark;1334;1746;45;3,37%;2,58%;3,39%;-0,02%
Belgium;Denmark;1276;1569;38;2,98%;2,42%;3,13%;-0,15%
Spain;Denmark;1334;1746;42;3,15%;2,41%;3,39%;-0,25%
Romania;Denmark;1160;1569;36;3,10%;2,29%;3,47%;-0,37%
Montenegro;Denmark;870;933;19;2,18%;2,04%;2,59%;-0,41%
Portugal;Denmark;1044;1263;26;2,49%;2,06%;3,04%;-0,55%
Lithuania;Denmark;1276;1551;31;2,43%;2,00%;3,10%;-0,67%
Serbia;Denmark;928;1142;19;2,05%;1,66%;2,96%;-0,91%
Ukraine;Denmark;986;1247;21;2,13%;1,68%;3,10%;-0,97%
Georgia;Denmark;928;1142;17;1,83%;1,49%;2,98%;-1,15%
Croatia;Denmark;1218;1672;29;2,38%;1,73%;3,56%;-1,18%
Austria;Denmark;1044;1260;20;1,92%;1,59%;3,10%;-1,18%
SanMarino;Denmark;812;993;13;1,60%;1,31%;2,95%;-1,35%
Cyprus;Denmark;1218;1495;20;1,64%;1,34%;3,12%;-1,48%
Macedonia;Denmark;1276;1569;21;1,65%;1,34%;3,13%;-1,49%
Belarus;Denmark;1160;1367;15;1,29%;1,10%;2,89%;-1,60%
Russia;Denmark;1218;1669;24;1,97%;1,44%;3,58%;-1,61%
Switzerland;Denmark;1276;1569;19;1,49%;1,21%;3,13%;-1,64%
Moldova;Denmark;1102;1367;15;1,36%;1,10%;3,02%;-1,66%
Armenia;Denmark;986;1221;10;1,01%;0,82%;3,01%;-2,00%
Greece;Denmark;1276;1551;13;1,02%;0,84%;3,10%;-2,08%
Azerbaijan;Denmark;928;1216;9;0,97%;0,74%;3,17%;-2,20%
Bulgaria;Denmark;870;1173;9;1,03%;0,77%;3,26%;-2,22%
Serbia&Montenegro;Denmark;174;151;0;0,00%;0,00%;2,30%;-2,30%
Albania;Denmark;1160;1367;3;0,26%;0,22%;2,89%;-2,63%
BosniaHerzegovina;Denmark;754;773;0;0,00%;0,00%;2,69%;-2,69%
Turkey;Denmark;696;968;6;0,86%;0,62%;3,84%;-2,97%
Latvia;Estonia;1392;1160;105;7,54%;9,05%;2,19%;5,35%
Finland;Estonia;1276;948;83;6,51%;8,76%;1,89%;4,61%
Slovakia;Estonia;232;293;22;9,48%;7,51%;3,04%;6,44%
Lithuania;Estonia;1276;1048;71;5,56%;6,78%;2,09%;3,47%
Ireland;Estonia;1334;1049;54;4,05%;5,15%;2,03%;2,01%
Sweden;Estonia;1392;1160;54;3,88%;4,66%;2,19%;1,69%
Iceland;Estonia;1334;1049;47;3,52%;4,48%;2,03%;1,49%
Denmark;Estonia;1334;1146;50;3,75%;4,36%;2,23%;1,52%
Moldova;Estonia;1102;739;28;2,54%;3,79%;1,63%;0,91%
