ID;Year;Which contest;Edition;Jury or televoting;From;To;Points;Is duplicate
3315;1984;f;1984f;J;Denmark;Cyprus;10;0
3316;1984;f;1984f;J;Denmark;Denmark;0;1
3317;1984;f;1984f;J;Denmark;Finland;6;0
3318;1984;f;1984f;J;Denmark;France;0;0
3319;1984;f;1984f;J;Denmark;Germany;2;0
3320;1984;f;1984f;J;Denmark;Ireland;3;0
3321;1984;f;1984f;J;Denmark;Italy;0;0
3322;1984;f;1984f;J;Denmark;Luxembourg;5;0
3323;1984;f;1984f;J;Denmark;Norway;0;0
3324;1984;f;1984f;J;Denmark;Portugal;0;0
3325;1984;f;1984f;J;Denmark;Spain;7;0
3326;1984;f;1984f;J;Denmark;Sweden;12;0
3327;1984;f;1984f;J;Denmark;Switzerland;8;0
3328;1984;f;1984f;J;Denmark;Netherlands;0;0
3329;1984;f;1984f;J;Denmark;Turkey;0;0
3330;1984;f;1984f;J;Denmark;United Kingdom;1;0
3331;1984;f;1984f;J;Denmark;Yugoslavia;0;0
3332;1984;f;1984f;J;Finland;Austria;0;0
3333;1984;f;1984f;J;Finland;Belgium;10;0
3334;1984;f;1984f;J;Finland;Cyprus;0;0
3335;1984;f;1984f;J;Finland;Denmark;5;0
3336;1984;f;1984f;J;Finland;Finland;0;1
3337;1984;f;1984f;J;Finland;France;0;0
3338;1984;f;1984f;J;Finland;Germany;0;0
3339;1984;f;1984f;J;Finland;Ireland;7;0
3340;1984;f;1984f;J;Finland;Italy;12;0
3341;1984;f;1984f;J;Finland;Luxembourg;0;0
3342;1984;f;1984f;J;Finland;Norway;6;0
3343;1984;f;1984f;J;Finland;Portugal;0;0
3344;1984;f;1984f;J;Finland;Spain;0;0
3345;1984;f;1984f;J;Finland;Sweden;8;0
3346;1984;f;1984f;J;Finland;Switzerland;1;0
3347;1984;f;1984f;J;Finland;Netherlands;0;0
3348;1984;f;1984f;J;Finland;Turkey;3;0
3349;1984;f;1984f;J;Finland;United Kingdom;4;0
3350;1984;f;1984f;J;Finland;Yugoslavia;2;0
3351;1984;f;1984f;J;France;Austria;0;0
3352;1984;f;1984f;J;France;Belgium;12;0
3353;1984;f;1984f;J;France;Cyprus;1;0
3354;1984;f;1984f;J;France;Denmark;8;0
3355;1984;f;1984f;J;France;Finland;5;0
3356;1984;f;1984f;J;France;France;0;1
3357;1984;f;1984f;J;France;Germany;4;0
3358;1984;f;1984f;J;France;Ireland;3;0
3359;1984;f;1984f;J;France;Italy;0;0
3360;1984;f;1984f;J;France;Luxembourg;0;0
3361;1984;f;1984f;J;France;Norway;0;0
3362;1984;f;1984f;J;France;Portugal;0;0
3363;1984;f;1984f;J;France;Spain;10;0
3364;1984;f;1984f;J;France;Sweden;6;0
3365;1984;f;1984f;J;France;Switzerland;0;0
3366;1984;f;1984f;J;France;Netherlands;7;0
3367;1984;f;1984f;J;France;Turkey;0;0
3368;1984;f;1984f;J;France;United Kingdom;0;0
3369;1984;f;1984f;J;France;Yugoslavia;2;0
3370;1984;f;1984f;J;Germany;Austria;0;0
3371;1984;f;1984f;J;Germany;Belgium;4;0
3372;1984;f;1984f;J;Germany;Cyprus;0;0
3373;1984;f;1984f;J;Germany;Denmark;5;0
3374;1984;f;1984f;J;Germany;Finland;1;0
3375;1984;f;1984f;J;Germany;France;0;0
3376;1984;f;1984f;J;Germany;Germany;0;1
3377;1984;f;1984f;J;Germany;Ireland;10;0
3378;1984;f;1984f;J;Germany;Italy;6;0
3379;1984;f;1984f;J;Germany;Luxembourg;0;0
3380;1984;f;1984f;J;Germany;Norway;2;0
3381;1984;f;1984f;J;Germany;Portugal;8;0
3382;1984;f;1984f;J;Germany;Spain;0;0
3383;1984;f;1984f;J;Germany;Sweden;12;0
3384;1984;f;1984f;J;Germany;Switzerland;0;0
3385;1984;f;1984f;J;Germany;Netherlands;0;0
3386;1984;f;1984f;J;Germany;Turkey;0;0
3387;1984;f;1984f;J;Germany;United Kingdom;7;0
3388;1984;f;1984f;J;Germany;Yugoslavia;3;0
3389;1984;f;1984f;J;Ireland;Austria;1;0
3390;1984;f;1984f;J;Ireland;Belgium;0;0
3391;1984;f;1984f;J;Ireland;Cyprus;4;0
3392;1984;f;1984f;J;Ireland;Denmark;10;0
3393;1984;f;1984f;J;Ireland;Finland;0;0
3394;1984;f;1984f;J;Ireland;France;0;0
3395;1984;f;1984f;J;Ireland;Germany;0;0
3396;1984;f;1984f;J;Ireland;Ireland;0;1
3397;1984;f;1984f;J;Ireland;Italy;0;0
3398;1984;f;1984f;J;Ireland;Luxembourg;5;0
3399;1984;f;1984f;J;Ireland;Norway;3;0
3400;1984;f;1984f;J;Ireland;Portugal;0;0
3401;1984;f;1984f;J;Ireland;Spain;7;0
3402;1984;f;1984f;J;Ireland;Sweden;12;0
3403;1984;f;1984f;J;Ireland;Switzerland;0;0
3404;1984;f;1984f;J;Ireland;Netherlands;6;0
3405;1984;f;1984f;J;Ireland;Turkey;2;0
3406;1984;f;1984f;J;Ireland;United Kingdom;8;0
3407;1984;f;1984f;J;Ireland;Yugoslavia;0;0
3408;1984;f;1984f;J;Italy;Austria;0;0
3409;1984;f;1984f;J;Italy;Belgium;1;0
3410;1984;f;1984f;J;Italy;Cyprus;0;0
3411;1984;f;1984f;J;Italy;Denmark;5;0
3412;1984;f;1984f;J;Italy;Finland;0;0
3413;1984;f;1984f;J;Italy;France;7;0
3414;1984;f;1984f;J;Italy;Germany;2;0
3415;1984;f;1984f;J;Italy;Ireland;12;0
3416;1984;f;1984f;J;Italy;Italy;0;1
3417;1984;f;1984f;J;Italy;Luxembourg;3;0
3418;1984;f;1984f;J;Italy;Norway;0;0
3419;1984;f;1984f;J;Italy;Portugal;0;0
3420;1984;f;1984f;J;Italy;Spain;8;0
3421;1984;f;1984f;J;Italy;Sweden;6;0
3422;1984;f;1984f;J;Italy;Switzerland;4;0
3423;1984;f;1984f;J;Italy;Netherlands;0;0
3424;1984;f;1984f;J;Italy;Turkey;0;0
3425;1984;f;1984f;J;Italy;United Kingdom;10;0
3426;1984;f;1984f;J;Italy;Yugoslavia;0;0
3427;1984;f;1984f;J;Luxembourg;Austria;0;0
3428;1984;f;1984f;J;Luxembourg;Belgium;12;0
3429;1984;f;1984f;J;Luxembourg;Cyprus;0;0
3430;1984;f;1984f;J;Luxembourg;Denmark;3;0
3431;1984;f;1984f;J;Luxembourg;Finland;0;0
3432;1984;f;1984f;J;Luxembourg;France;0;0
3433;1984;f;1984f;J;Luxembourg;Germany;0;0
3434;1984;f;1984f;J;Luxembourg;Ireland;5;0
3435;1984;f;1984f;J;Luxembourg;Italy;10;0
3436;1984;f;1984f;J;Luxembourg;Luxembourg;0;1
3437;1984;f;1984f;J;Luxembourg;Norway;7;0
3438;1984;f;1984f;J;Luxembourg;Portugal;4;0
3439;1984;f;1984f;J;Luxembourg;Spain;8;0
3440;1984;f;1984f;J;Luxembourg;Sweden;6;0
3441;1984;f;1984f;J;Luxembourg;Switzerland;0;0
3442;1984;f;1984f;J;Luxembourg;Netherlands;2;0
3443;1984;f;1984f;J;Luxembourg;Turkey;0;0
3444;1984;f;1984f;J;Luxembourg;United Kingdom;1;0
3445;1984;f;1984f;J;Luxembourg;Yugoslavia;0;0
3446;1984;f;1984f;J;Norway;Austria;0;0
3447;1984;f;1984f;J;Norway;Belgium;3;0
3448;1984;f;1984f;J;Norway;Cyprus;0;0
3449;1984;f;1984f;J;Norway;Denmark;12;0
3450;1984;f;1984f;J;Norway;Finland;5;0
3451;1984;f;1984f;J;Norway;France;2;0
3452;1984;f;1984f;J;Norway;Germany;7;0
3453;1984;f;1984f;J;Norway;Ireland;4;0
3454;1984;f;1984f;J;Norway;Italy;1;0
3455;1984;f;1984f;J;Norway;Luxembourg;0;0
3456;1984;f;1984f;J;Norway;Norway;0;1
3457;1984;f;1984f;J;Norway;Portugal;0;0
3458;1984;f;1984f;J;Norway;Spain;6;0
3459;1984;f;1984f;J;Norway;Sweden;10;0
3460;1984;f;1984f;J;Norway;Switzerland;0;0
3461;1984;f;1984f;J;Norway;Netherlands;0;0
3462;1984;f;1984f;J;Norway;Turkey;0;0
3463;1984;f;1984f;J;Norway;United Kingdom;8;0
3464;1984;f;1984f;J;Norway;Yugoslavia;0;0
3465;1984;f;1984f;J;Portugal;Austria;0;0
3466;1984;f;1984f;J;Portugal;Belgium;10;0
3467;1984;f;1984f;J;Portugal;Cyprus;0;0
3468;1984;f;1984f;J;Portugal;Denmark;1;0
3469;1984;f;1984f;J;Portugal;Finland;3;0
3470;1984;f;1984f;J;Portugal;France;7;0
3471;1984;f;1984f;J;Portugal;Germany;5;0
3472;1984;f;1984f;J;Portugal;Ireland;2;0
3473;1984;f;1984f;J;Portugal;Italy;8;0
3474;1984;f;1984f;J;Portugal;Luxembourg;0;0
3475;1984;f;1984f;J;Portugal;Norway;0;0
3476;1984;f;1984f;J;Portugal;Portugal;0;1
3477;1984;f;1984f;J;Portugal;Spain;12;0
3478;1984;f;1984f;J;Portugal;Sweden;4;0
3479;1984;f;1984f;J;Portugal;Switzerland;0;0
3480;1984;f;1984f;J;Portugal;Netherlands;0;0
3481;1984;f;1984f;J;Portugal;Turkey;0;0
3482;1984;f;1984f;J;Portugal;United Kingdom;6;0
3483;1984;f;1984f;J;Portugal;Yugoslavia;0;0
3484;1984;f;1984f;J;Spain;Austria;0;0
3485;1984;f;1984f;J;Spain;Belgium;2;0
3486;1984;f;1984f;J;Spain;Cyprus;0;0
3487;1984;f;1984f;J;Spain;Denmark;6;0
3488;1984;f;1984f;J;Spain;Finland;1;0
3489;1984;f;1984f;J;Spain;France;0;0
3490;1984;f;1984f;J;Spain;Germany;0;0
3491;1984;f;1984f;J;Spain;Ireland;10;0
3492;1984;f;1984f;J;Spain;Italy;12;0
3493;1984;f;1984f;J;Spain;Luxembourg;7;0
3494;1984;f;1984f;J;Spain;Norway;0;0
3495;1984;f;1984f;J;Spain;Portugal;5;0
3496;1984;f;1984f;J;Spain;Spain;0;1
3497;1984;f;1984f;J;Spain;Sweden;4;0
3498;1984;f;1984f;J;Spain;Switzerland;0;0
3499;1984;f;1984f;J;Spain;Netherlands;8;0
3500;1984;f;1984f;J;Spain;Turkey;0;0
3501;1984;f;1984f;J;Spain;United Kingdom;3;0
3502;1984;f;1984f;J;Spain;Yugoslavia;0;0
3503;1984;f;1984f;J;Sweden;Austria;0;0
3504;1984;f;1984f;J;Sweden;Belgium;0;0
3505;1984;f;1984f;J;Sweden;Cyprus;4;0
3506;1984;f;1984f;J;Sweden;Denmark;5;0
3507;1984;f;1984f;J;Sweden;Finland;7;0
3508;1984;f;1984f;J;Sweden;France;2;0
3509;1984;f;1984f;J;Sweden;Germany;0;0
3510;1984;f;1984f;J;Sweden;Ireland;12;0
3511;1984;f;1984f;J;Sweden;Italy;0;0
3512;1984;f;1984f;J;Sweden;Luxembourg;0;0
3513;1984;f;1984f;J;Sweden;Norway;8;0
3514;1984;f;1984f;J;Sweden;Portugal;0;0
3515;1984;f;1984f;J;Sweden;Spain;10;0
3516;1984;f;1984f;J;Sweden;Sweden;0;1
3517;1984;f;1984f;J;Sweden;Switzerland;1;0
3518;1984;f;1984f;J;Sweden;Netherlands;0;0
3519;1984;f;1984f;J;Sweden;Turkey;6;0
3520;1984;f;1984f;J;Sweden;United Kingdom;3;0
3521;1984;f;1984f;J;Sweden;Yugoslavia;0;0
3522;1984;f;1984f;J;Switzerland;Austria;0;0
3523;1984;f;1984f;J;Switzerland;Belgium;0;0
3524;1984;f;1984f;J;Switzerland;Cyprus;0;0
3525;1984;f;1984f;J;Switzerland;Denmark;1;0
3526;1984;f;1984f;J;Switzerland;Finland;0;0
3527;1984;f;1984f;J;Switzerland;France;4;0
3528;1984;f;1984f;J;Switzerland;Germany;0;0
3529;1984;f;1984f;J;Switzerland;Ireland;12;0
3530;1984;f;1984f;J;Switzerland;Italy;7;0
3531;1984;f;1984f;J;Switzerland;Luxembourg;0;0
3532;1984;f;1984f;J;Switzerland;Norway;2;0
3533;1984;f;1984f;J;Switzerland;Portugal;8;0
3534;1984;f;1984f;J;Switzerland;Spain;3;0
3535;1984;f;1984f;J;Switzerland;Sweden;10;0
3536;1984;f;1984f;J;Switzerland;Switzerland;0;1
3537;1984;f;1984f;J;Switzerland;Netherlands;5;0
3538;1984;f;1984f;J;Switzerland;Turkey;6;0
3539;1984;f;1984f;J;Switzerland;United Kingdom;0;0
3540;1984;f;1984f;J;Switzerland;Yugoslavia;0;0
3541;1984;f;1984f;J;Netherlands;Austria;0;0
3542;1984;f;1984f;J;Netherlands;Belgium;8;0
3543;1984;f;1984f;J;Netherlands;Cyprus;0;0
3544;1984;f;1984f;J;Netherlands;Denmark;3;0
3545;1984;f;1984f;J;Netherlands;Finland;0;0
3546;1984;f;1984f;J;Netherlands;France;12;0
3547;1984;f;1984f;J;Netherlands;Germany;5;0
3548;1984;f;1984f;J;Netherlands;Ireland;7;0
3549;1984;f;1984f;J;Netherlands;Italy;0;0
3550;1984;f;1984f;J;Netherlands;Luxembourg;0;0
3551;1984;f;1984f;J;Netherlands;Norway;0;0
3552;1984;f;1984f;J;Netherlands;Portugal;6;0
3553;1984;f;1984f;J;Netherlands;Spain;2;0
3554;1984;f;1984f;J;Netherlands;Sweden;10;0
3555;1984;f;1984f;J;Netherlands;Switzerland;0;0
3556;1984;f;1984f;J;Netherlands;Netherlands;0;1
3557;1984;f;1984f;J;Netherlands;Turkey;1;0
3558;1984;f;1984f;J;Netherlands;United Kingdom;4;0
3559;1984;f;1984f;J;Netherlands;Yugoslavia;0;0
3560;1984;f;1984f;J;Turkey;Austria;0;0
3561;1984;f;1984f;J;Turkey;Belgium;5;0
3562;1984;f;1984f;J;Turkey;Cyprus;0;0
3563;1984;f;1984f;J;Turkey;Denmark;2;0
3564;1984;f;1984f;J;Turkey;Finland;6;0
3565;1984;f;1984f;J;Turkey;France;0;0
3566;1984;f;1984f;J;Turkey;Germany;0;0
3567;1984;f;1984f;J;Turkey;Ireland;10;0
3568;1984;f;1984f;J;Turkey;Italy;7;0
3569;1984;f;1984f;J;Turkey;Luxembourg;4;0
3570;1984;f;1984f;J;Turkey;Norway;0;0
3571;1984;f;1984f;J;Turkey;Portugal;0;0
3572;1984;f;1984f;J;Turkey;Spain;12;0
3573;1984;f;1984f;J;Turkey;Sweden;3;0
3574;1984;f;1984f;J;Turkey;Switzerland;0;0
3575;1984;f;1984f;J;Turkey;Netherlands;0;0
3576;1984;f;1984f;J;Turkey;Turkey;0;1
3577;1984;f;1984f;J;Turkey;United Kingdom;1;0
3578;1984;f;1984f;J;Turkey;Yugoslavia;8;0
3579;1984;f;1984f;J;United Kingdom;Austria;0;0
3580;1984;f;1984f;J;United Kingdom;Belgium;0;0
3581;1984;f;1984f;J;United Kingdom;Cyprus;0;0
3582;1984;f;1984f;J;United Kingdom;Denmark;12;0
3583;1984;f;1984f;J;United Kingdom;Finland;0;0
3584;1984;f;1984f;J;United Kingdom;France;6;0
3585;1984;f;1984f;J;United Kingdom;Germany;2;0
3586;1984;f;1984f;J;United Kingdom;Ireland;8;0
3587;1984;f;1984f;J;United Kingdom;Italy;0;0
3588;1984;f;1984f;J;United Kingdom;Luxembourg;0;0
3589;1984;f;1984f;J;United Kingdom;Norway;0;0
3590;1984;f;1984f;J;United Kingdom;Portugal;0;0
3591;1984;f;1984f;J;United Kingdom;Spain;4;0
3592;1984;f;1984f;J;United Kingdom;Sweden;7;0
3593;1984;f;1984f;J;United Kingdom;Switzerland;10;0
3594;1984;f;1984f;J;United Kingdom;Netherlands;1;0
3595;1984;f;1984f;J;United Kingdom;Turkey;5;0
3596;1984;f;1984f;J;United Kingdom;United Kingdom;0;1
3597;1984;f;1984f;J;United Kingdom;Yugoslavia;3;0
3598;1984;f;1984f;J;Yugoslavia;Austria;0;0
3599;1984;f;1984f;J;Yugoslavia;Belgium;0;0
3600;1984;f;1984f;J;Yugoslavia;Cyprus;12;0
3601;1984;f;1984f;J;Yugoslavia;Denmark;6;0
3602;1984;f;1984f;J;Yugoslavia;Finland;3;0
3603;1984;f;1984f;J;Yugoslavia;France;0;0
3604;1984;f;1984f;J;Yugoslavia;Germany;0;0
3605;1984;f;1984f;J;Yugoslavia;Ireland;0;0
3606;1984;f;1984f;J;Yugoslavia;Italy;0;0
3607;1984;f;1984f;J;Yugoslavia;Luxembourg;8;0
3608;1984;f;1984f;J;Yugoslavia;Norway;0;0
3609;1984;f;1984f;J;Yugoslavia;Portugal;7;0
3610;1984;f;1984f;J;Yugoslavia;Spain;2;0
3611;1984;f;1984f;J;Yugoslavia;Sweden;4;0
3612;1984;f;1984f;J;Yugoslavia;Switzerland;0;0
3613;1984;f;1984f;J;Yugoslavia;Netherlands;5;0
3614;1984;f;1984f;J;Yugoslavia;Turkey;10;0
3615;1984;f;1984f;J;Yugoslavia;United Kingdom;1;0
3616;1984;f;1984f;J;Yugoslavia;Yugoslavia;0;1
3617;1985;f;1985f;J;Austria;Austria;0;1
3618;1985;f;1985f;J;Austria;Belgium;0;0
3619;1985;f;1985f;J;Austria;Cyprus;0;0
3620;1985;f;1985f;J;Austria;Denmark;5;0
3621;1985;f;1985f;J;Austria;Finland;0;0
3622;1985;f;1985f;J;Austria;France;3;0
3623;1985;f;1985f;J;Austria;Germany;0;0
3624;1985;f;1985f;J;Austria;Greece;0;0
3625;1985;f;1985f;J;Austria;Ireland;10;0
3626;1985;f;1985f;J;Austria;Israel;7;0
3627;1985;f;1985f;J;Austria;Italy;6;0
3628;1985;f;1985f;J;Austria;Luxembourg;8;0
3629;1985;f;1985f;J;Austria;Norway;12;0
3630;1985;f;1985f;J;Austria;Portugal;0;0
3631;1985;f;1985f;J;Austria;Spain;0;0
3632;1985;f;1985f;J;Austria;Sweden;4;0
3633;1985;f;1985f;J;Austria;Switzerland;1;0
3634;1985;f;1985f;J;Austria;Turkey;0;0
3635;1985;f;1985f;J;Austria;United Kingdom;2;0
3636;1985;f;1985f;J;Belgium;Austria;4;0
3637;1985;f;1985f;J;Belgium;Belgium;0;1
3638;1985;f;1985f;J;Belgium;Cyprus;0;0
3639;1985;f;1985f;J;Belgium;Denmark;3;0
3640;1985;f;1985f;J;Belgium;Finland;0;0
3641;1985;f;1985f;J;Belgium;France;0;0
3642;1985;f;1985f;J;Belgium;Germany;10;0
3643;1985;f;1985f;J;Belgium;Greece;0;0
3644;1985;f;1985f;J;Belgium;Ireland;8;0
3645;1985;f;1985f;J;Belgium;Israel;0;0
3646;1985;f;1985f;J;Belgium;Italy;2;0
3647;1985;f;1985f;J;Belgium;Luxembourg;0;0
3648;1985;f;1985f;J;Belgium;Norway;12;0
3649;1985;f;1985f;J;Belgium;Portugal;0;0
3650;1985;f;1985f;J;Belgium;Spain;0;0
3651;1985;f;1985f;J;Belgium;Sweden;7;0
3652;1985;f;1985f;J;Belgium;Switzerland;5;0
3653;1985;f;1985f;J;Belgium;Turkey;1;0
3654;1985;f;1985f;J;Belgium;United Kingdom;6;0
3655;1985;f;1985f;J;Cyprus;Austria;0;0
3656;1985;f;1985f;J;Cyprus;Belgium;0;0
3657;1985;f;1985f;J;Cyprus;Cyprus;0;1
3658;1985;f;1985f;J;Cyprus;Denmark;3;0
3659;1985;f;1985f;J;Cyprus;Finland;6;0
3660;1985;f;1985f;J;Cyprus;France;4;0
3661;1985;f;1985f;J;Cyprus;Germany;12;0
3662;1985;f;1985f;J;Cyprus;Greece;8;0
3663;1985;f;1985f;J;Cyprus;Ireland;7;0
3664;1985;f;1985f;J;Cyprus;Israel;5;0
3665;1985;f;1985f;J;Cyprus;Italy;10;0
3666;1985;f;1985f;J;Cyprus;Luxembourg;0;0
3667;1985;f;1985f;J;Cyprus;Norway;0;0
3668;1985;f;1985f;J;Cyprus;Portugal;0;0
3669;1985;f;1985f;J;Cyprus;Spain;1;0
3670;1985;f;1985f;J;Cyprus;Sweden;0;0
3671;1985;f;1985f;J;Cyprus;Switzerland;2;0
3672;1985;f;1985f;J;Cyprus;Turkey;0;0
3673;1985;f;1985f;J;Cyprus;United Kingdom;0;0
3674;1985;f;1985f;J;Denmark;Austria;7;0
3675;1985;f;1985f;J;Denmark;Belgium;0;0
3676;1985;f;1985f;J;Denmark;Cyprus;0;0
3677;1985;f;1985f;J;Denmark;Denmark;0;1
3678;1985;f;1985f;J;Denmark;Finland;0;0
3679;1985;f;1985f;J;Denmark;France;0;0
3680;1985;f;1985f;J;Denmark;Germany;10;0
3681;1985;f;1985f;J;Denmark;Greece;0;0
3682;1985;f;1985f;J;Denmark;Ireland;3;0
3683;1985;f;1985f;J;Denmark;Israel;4;0
3684;1985;f;1985f;J;Denmark;Italy;1;0
3685;1985;f;1985f;J;Denmark;Luxembourg;2;0
3686;1985;f;1985f;J;Denmark;Norway;12;0
3687;1985;f;1985f;J;Denmark;Portugal;0;0
3688;1985;f;1985f;J;Denmark;Spain;0;0
3689;1985;f;1985f;J;Denmark;Sweden;8;0
3690;1985;f;1985f;J;Denmark;Switzerland;6;0
3691;1985;f;1985f;J;Denmark;Turkey;0;0
3692;1985;f;1985f;J;Denmark;United Kingdom;5;0
3693;1985;f;1985f;J;Finland;Austria;0;0
3694;1985;f;1985f;J;Finland;Belgium;0;0
3695;1985;f;1985f;J;Finland;Cyprus;0;0
3696;1985;f;1985f;J;Finland;Denmark;0;0
3697;1985;f;1985f;J;Finland;Finland;0;1
3698;1985;f;1985f;J;Finland;France;5;0
3699;1985;f;1985f;J;Finland;Germany;10;0
3700;1985;f;1985f;J;Finland;Greece;0;0
3701;1985;f;1985f;J;Finland;Ireland;1;0
3702;1985;f;1985f;J;Finland;Israel;0;0
3703;1985;f;1985f;J;Finland;Italy;6;0
3704;1985;f;1985f;J;Finland;Luxembourg;0;0
3705;1985;f;1985f;J;Finland;Norway;4;0
3706;1985;f;1985f;J;Finland;Portugal;0;0
3707;1985;f;1985f;J;Finland;Spain;8;0
3708;1985;f;1985f;J;Finland;Sweden;12;0
3709;1985;f;1985f;J;Finland;Switzerland;3;0
3710;1985;f;1985f;J;Finland;Turkey;2;0
3711;1985;f;1985f;J;Finland;United Kingdom;7;0
3712;1985;f;1985f;J;France;Austria;1;0
3713;1985;f;1985f;J;France;Belgium;0;0
3714;1985;f;1985f;J;France;Cyprus;0;0
3715;1985;f;1985f;J;France;Denmark;10;0
3716;1985;f;1985f;J;France;Finland;0;0
3717;1985;f;1985f;J;France;France;0;1
3718;1985;f;1985f;J;France;Germany;8;0
3719;1985;f;1985f;J;France;Greece;0;0
3720;1985;f;1985f;J;France;Ireland;3;0
3721;1985;f;1985f;J;France;Israel;12;0
3722;1985;f;1985f;J;France;Italy;5;0
3723;1985;f;1985f;J;France;Luxembourg;4;0
3724;1985;f;1985f;J;France;Norway;2;0
3725;1985;f;1985f;J;France;Portugal;0;0
3726;1985;f;1985f;J;France;Spain;0;0
3727;1985;f;1985f;J;France;Sweden;7;0
3728;1985;f;1985f;J;France;Switzerland;0;0
3729;1985;f;1985f;J;France;Turkey;0;0
3730;1985;f;1985f;J;France;United Kingdom;6;0
3731;1985;f;1985f;J;Germany;Austria;10;0
3732;1985;f;1985f;J;Germany;Belgium;0;0
3733;1985;f;1985f;J;Germany;Cyprus;0;0
3734;1985;f;1985f;J;Germany;Denmark;6;0
3735;1985;f;1985f;J;Germany;Finland;0;0
3736;1985;f;1985f;J;Germany;France;0;0
3737;1985;f;1985f;J;Germany;Germany;0;1
3738;1985;f;1985f;J;Germany;Greece;0;0
3739;1985;f;1985f;J;Germany;Ireland;4;0
3740;1985;f;1985f;J;Germany;Israel;7;0
3741;1985;f;1985f;J;Germany;Italy;0;0
3742;1985;f;1985f;J;Germany;Luxembourg;3;0
3743;1985;f;1985f;J;Germany;Norway;12;0
3744;1985;f;1985f;J;Germany;Portugal;0;0
3745;1985;f;1985f;J;Germany;Spain;0;0
3746;1985;f;1985f;J;Germany;Sweden;8;0
3747;1985;f;1985f;J;Germany;Switzerland;1;0
3748;1985;f;1985f;J;Germany;Turkey;2;0
3749;1985;f;1985f;J;Germany;United Kingdom;5;0
3750;1985;f;1985f;J;Greece;Austria;5;0
3751;1985;f;1985f;J;Greece;Belgium;0;0
3752;1985;f;1985f;J;Greece;Cyprus;8;0
3753;1985;f;1985f;J;Greece;Denmark;0;0
3754;1985;f;1985f;J;Greece;Finland;10;0
3755;1985;f;1985f;J;Greece;France;12;0
3756;1985;f;1985f;J;Greece;Germany;0;0
3757;1985;f;1985f;J;Greece;Greece;0;1
3758;1985;f;1985f;J;Greece;Ireland;0;0
3759;1985;f;1985f;J;Greece;Israel;2;0
3760;1985;f;1985f;J;Greece;Italy;0;0
3761;1985;f;1985f;J;Greece;Luxembourg;0;0
3762;1985;f;1985f;J;Greece;Norway;1;0
3763;1985;f;1985f;J;Greece;Portugal;7;0
3764;1985;f;1985f;J;Greece;Spain;6;0
3765;1985;f;1985f;J;Greece;Sweden;0;0
3766;1985;f;1985f;J;Greece;Switzerland;3;0
3767;1985;f;1985f;J;Greece;Turkey;0;0
3768;1985;f;1985f;J;Greece;United Kingdom;4;0
3769;1985;f;1985f;J;Ireland;Austria;3;0
3770;1985;f;1985f;J;Ireland;Belgium;0;0
3771;1985;f;1985f;J;Ireland;Cyprus;1;0
3772;1985;f;1985f;J;Ireland;Denmark;0;0
3773;1985;f;1985f;J;Ireland;Finland;6;0
3774;1985;f;1985f;J;Ireland;France;0;0
3775;1985;f;1985f;J;Ireland;Germany;4;0
3776;1985;f;1985f;J;Ireland;Greece;0;0
3777;1985;f;1985f;J;Ireland;Ireland;0;1
3778;1985;f;1985f;J;Ireland;Israel;8;0
3779;1985;f;1985f;J;Ireland;Italy;0;0
3780;1985;f;1985f;J;Ireland;Luxembourg;0;0
3781;1985;f;1985f;J;Ireland;Norway;12;0
3782;1985;f;1985f;J;Ireland;Portugal;0;0
3783;1985;f;1985f;J;Ireland;Spain;2;0
3784;1985;f;1985f;J;Ireland;Sweden;10;0
3785;1985;f;1985f;J;Ireland;Switzerland;0;0
3786;1985;f;1985f;J;Ireland;Turkey;7;0
3787;1985;f;1985f;J;Ireland;United Kingdom;5;0
3788;1985;f;1985f;J;Israel;Austria;10;0
3789;1985;f;1985f;J;Israel;Belgium;0;0
3790;1985;f;1985f;J;Israel;Cyprus;0;0
3791;1985;f;1985f;J;Israel;Denmark;0;0
3792;1985;f;1985f;J;Israel;Finland;1;0
3793;1985;f;1985f;J;Israel;France;3;0
3794;1985;f;1985f;J;Israel;Germany;7;0
3795;1985;f;1985f;J;Israel;Greece;0;0
3796;1985;f;1985f;J;Israel;Ireland;8;0
3797;1985;f;1985f;J;Israel;Israel;0;1
3798;1985;f;1985f;J;Israel;Italy;4;0
3799;1985;f;1985f;J;Israel;Luxembourg;5;0
3800;1985;f;1985f;J;Israel;Norway;12;0
3801;1985;f;1985f;J;Israel;Portugal;0;0
3802;1985;f;1985f;J;Israel;Spain;0;0
3803;1985;f;1985f;J;Israel;Sweden;6;0
3804;1985;f;1985f;J;Israel;Switzerland;0;0
3805;1985;f;1985f;J;Israel;Turkey;0;0
3806;1985;f;1985f;J;Israel;United Kingdom;2;0
3807;1985;f;1985f;J;Italy;Austria;0;0
3808;1985;f;1985f;J;Italy;Belgium;0;0
3809;1985;f;1985f;J;Italy;Cyprus;3;0
3810;1985;f;1985f;J;Italy;Denmark;2;0
3811;1985;f;1985f;J;Italy;Finland;7;0
3812;1985;f;1985f;J;Italy;France;10;0
3813;1985;f;1985f;J;Italy;Germany;0;0
3814;1985;f;1985f;J;Italy;Greece;0;0
3815;1985;f;1985f;J;Italy;Ireland;12;0
3816;1985;f;1985f;J;Italy;Israel;5;0
3817;1985;f;1985f;J;Italy;Italy;0;1
3818;1985;f;1985f;J;Italy;Luxembourg;1;0
